date	time	comment	ai0:_P0_plenum	ai0:_P0_plenum_Stabw	ai0:_T0_plenum	ai0:_T0_plenum_Stabw	ai0:_g0_137_hood	ai0:_g0_137_hood_Stabw	ai12:_HEAT_T1_heat_in	ai12:_HEAT_T1_heat_in_Stabw	ai13:_HEAT_T2_core_out	ai13:_HEAT_T2_core_out_Stabw	ai14:_HEAT_T3_core_in	ai14:_HEAT_T3_core_in_Stabw	ai15:_HEAT_T4_heat_out	ai15:_HEAT_T4_heat_out_Stabw	ai1:_P1_fuel_HEAT	ai1:_P1_fuel_HEAT_Stabw	ai1:_T1_main_air	ai1:_T1_main_air_Stabw	ai1:_g1_135_bur	ai1:_g1_135_bur_Stabw	ai2:_T2_pilot_air_1	ai2:_T2_pilot_air_1_Stabw	ai2:_g2_137_scr	ai2:_g2_137_scr_Stabw	ai3:_T3_pilot_air_2	ai3:_T3_pilot_air_2_Stabw	ai3:_g3_135_mfc	ai3:_g3_135_mfc_Stabw	ai4:_T4_por_in	ai4:_T4_por_in_Stabw	ai6:_T6_shield	ai6:_T6_shield_Stabw	AIR-MAI	AIR-MAI.set	AIR-PIL	AIR-PIL.set	AIRHEAT	AIRHEAT.set	CH4-PIL	CH4-PIL.set	H2-MAIN	H2-MAIN.set	H2-PILO	H2-PILO.set	N2	N2.set	NH3-MAI	NH3-MAI.set
					°C	°C	V	V	°C	°C	°C	°C	°C	°C	°C	°C			°C	°C	V	V	°C	°C	V	V	°C	°C	V	V	°C	°C	°C	°C	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/Min	L/Min	L/Min	L/Min
																																																		
16.06.2025	16:37:20.7		7.657571E-4	3.558024E-3	2.225472E+1	4.052663E-3	2.276988E+0	4.907753E-3	1.908575E+1	7.083047E-4	1.409221E+1	3.943296E-4	2.014297E+1	7.037743E-3	1.235253E+1	2.826169E-2	1.986244E+0	1.218656E-1	2.211977E+1	3.747539E-3	5.371253E-1	1.485907E-3	2.181813E+1	2.400892E-3	1.747459E+0	1.849302E-3	2.177961E+1	1.031433E-3	5.890625E-1	1.760923E-3	2.218724E+1	2.997348E-3	2.215541E+1	6.213440E-4	3.140248E+0	0.000000E+0	3.486380E+2	3.500000E+2	9.814741E+0	1.000000E+1	2.489628E-1	0.000000E+0	1.925310E-1	0.000000E+0	8.551858E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.244814E-1	0.000000E+0
16.06.2025	16:37:21.7		3.709476E-3	1.429670E-2	2.224944E+1	6.315352E-3	2.265056E+0	7.906531E-3	1.908305E+1	1.632558E-3	1.408486E+1	4.854354E-3	2.013519E+1	9.798400E-3	1.241272E+1	2.353076E-2	1.986974E+0	7.520786E-2	2.211763E+1	3.801703E-3	5.370708E-1	1.939107E-3	2.181289E+1	6.065939E-3	1.746569E+0	5.809322E-3	2.177086E+1	7.476974E-3	5.886912E-1	3.818709E-3	2.218963E+1	1.268825E-3	2.215539E+1	2.082119E-3	3.200000E+0	0.000000E+0	3.495000E+2	3.500000E+2	9.808425E+0	1.000000E+1	3.600000E-1	0.000000E+0	2.000000E-1	0.000000E+0	7.500000E-1	0.000000E+0	2.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0
16.06.2025	16:37:22.7		1.177198E-3	3.627246E-3	2.225565E+1	4.019462E-3	2.252180E+0	5.813236E-3	1.908805E+1	7.084781E-3	1.407679E+1	1.142336E-3	2.014020E+1	2.331157E-3	1.241231E+1	3.056311E-2	1.981867E+0	5.938330E-2	2.212712E+1	9.062846E-4	5.373903E-1	1.885825E-3	2.182404E+1	5.997624E-3	1.748735E+0	7.716793E-3	2.178253E+1	3.920641E-3	5.905121E-1	6.863357E-3	2.218882E+1	2.648701E-3	2.215906E+1	1.082157E-3	2.990771E+0	0.000000E+0	3.491077E+2	3.500000E+2	9.808425E+0	1.000000E+1	3.600000E-1	0.000000E+0	1.738464E-1	0.000000E+0	5.930782E-1	0.000000E+0	1.738464E-1	0.000000E+0	1.500000E-1	0.000000E+0
16.06.2025	16:37:23.7		5.732370E-4	1.507241E-3	2.225501E+1	2.603784E-3	2.238060E+0	5.196973E-3	1.909184E+1	6.079117E-3	1.407067E+1	3.545933E-3	2.013691E+1	2.340649E-3	1.241226E+1	2.288864E-2	1.983267E+0	1.110807E-1	2.212076E+1	3.401168E-3	5.373584E-1	1.283681E-3	2.181206E+1	7.763072E-3	1.748068E+0	3.422267E-3	2.178103E+1	3.038894E-3	5.901978E-1	2.958312E-3	2.218383E+1	1.155053E-2	2.214990E+1	8.510283E-3	3.142554E+0	0.000000E+0	3.493923E+2	3.500000E+2	9.808425E+0	1.000000E+1	3.086169E-1	0.000000E+0	2.356385E-1	0.000000E+0	8.353734E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0
16.06.2025	16:37:24.7		4.343298E-4	1.288804E-3	2.225452E+1	3.309326E-3	2.243631E+0	5.849621E-3	1.908479E+1	1.697463E-3	1.406807E+1	2.431763E-3	2.013120E+1	2.311894E-3	1.239244E+1	1.079696E-2	2.000537E+0	9.236477E-2	2.212165E+1	2.212915E-3	5.368979E-1	1.766410E-3	2.181492E+1	8.625945E-3	1.747089E+0	3.915109E-3	2.178600E+1	6.399529E-3	5.893900E-1	2.879744E-3	2.218295E+1	1.111848E-2	2.215039E+1	8.778767E-3	3.138825E+0	0.000000E+0	3.495000E+2	3.500000E+2	9.808425E+0	1.000000E+1	3.600000E-1	0.000000E+0	2.000000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.800000E-1	0.000000E+0
16.06.2025	16:37:25.7		1.172494E-3	4.427701E-3	2.225078E+1	3.571674E-3	2.247318E+0	6.674796E-3	1.908541E+1	3.807902E-3	1.407124E+1	8.646389E-3	2.013347E+1	1.032062E-3	1.243390E+1	1.580906E-2	1.998807E+0	7.807980E-2	2.212120E+1	6.178647E-3	5.369726E-1	1.821026E-3	2.181547E+1	6.675991E-3	1.747867E+0	3.277544E-3	2.178497E+1	7.187967E-3	5.895919E-1	2.369211E-3	2.219441E+1	5.590547E-3	2.215824E+1	2.744943E-3	2.800000E+0	0.000000E+0	3.495000E+2	3.500000E+2	9.816160E+0	1.000000E+1	3.600000E-1	0.000000E+0	1.479139E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.487484E-1	0.000000E+0
16.06.2025	16:37:26.7		6.967470E-4	1.945494E-3	2.225692E+1	6.019066E-3	2.241948E+0	7.268421E-3	1.909270E+1	6.051942E-3	1.408562E+1	5.466780E-3	2.014122E+1	6.880661E-3	1.245871E+1	1.348036E-2	1.975149E+0	6.745563E-2	2.212534E+1	9.990037E-3	5.376154E-1	3.139831E-3	2.181801E+1	1.141149E-2	1.749762E+0	7.070253E-3	2.178327E+1	3.674990E-3	5.905017E-1	4.237221E-3	2.218971E+1	6.083590E-3	2.215577E+1	4.707273E-3	3.118800E+0	0.000000E+0	3.495000E+2	3.500000E+2	9.811440E+0	1.000000E+1	3.600000E-1	0.000000E+0	1.797001E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.898501E-1	0.000000E+0	1.678201E-1	0.000000E+0
16.06.2025	16:37:27.7		1.235073E-3	4.940715E-3	2.225114E+1	3.600309E-3	2.246087E+0	5.094302E-3	1.908638E+1	2.717942E-3	1.407561E+1	2.062141E-3	2.013133E+1	1.723991E-3	1.245323E+1	1.448745E-2	2.007199E+0	8.044347E-2	2.211165E+1	3.858167E-3	5.371295E-1	2.396125E-3	2.180899E+1	6.613009E-3	1.748447E+0	5.782320E-3	2.177902E+1	1.151835E-3	5.896447E-1	4.193843E-3	2.218249E+1	2.920280E-3	2.214797E+1	4.560350E-4	3.200000E+0	0.000000E+0	3.502500E+2	3.500000E+2	9.815850E+0	1.000000E+1	3.000000E-1	0.000000E+0	2.000000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.200000E-1	0.000000E+0
16.06.2025	16:37:28.7		1.838780E-3	6.830512E-3	2.225031E+1	2.042434E-3	2.248241E+0	4.590998E-3	1.908102E+1	8.128661E-3	1.407153E+1	8.058020E-3	2.013162E+1	1.123899E-2	1.241011E+1	7.827097E-3	1.987102E+0	1.004026E-1	2.211435E+1	3.114019E-3	5.371880E-1	2.239756E-3	2.180813E+1	3.166115E-3	1.748693E+0	5.153430E-3	2.177575E+1	7.695173E-3	5.898831E-1	3.687749E-3	2.218364E+1	4.651065E-3	2.215492E+1	3.526047E-3	2.991981E+0	0.000000E+0	3.502500E+2	3.500000E+2	9.811989E+0	1.000000E+1	3.312029E-1	0.000000E+0	2.000000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.356015E-1	0.000000E+0
16.06.2025	16:37:29.7		9.764160E-4	3.612479E-3	2.224987E+1	1.350874E-3	2.256420E+0	5.407862E-3	1.907983E+1	6.155487E-3	1.406725E+1	3.525297E-3	2.012719E+1	5.947197E-3	1.242328E+1	1.048656E-2	1.996042E+0	6.297141E-2	2.211416E+1	2.725776E-3	5.374038E-1	2.727336E-3	2.181266E+1	6.781577E-3	1.749334E+0	8.790912E-3	2.177644E+1	6.812215E-3	5.905514E-1	6.571995E-3	2.218246E+1	3.374662E-3	2.214894E+1	1.670350E-3	2.800000E+0	0.000000E+0	3.489687E+2	3.500000E+2	9.814767E+0	1.000000E+1	2.062466E-1	0.000000E+0	2.000000E-1	0.000000E+0	8.781279E-1	0.000000E+0	1.072907E-1	0.000000E+0	1.243744E-1	0.000000E+0
16.06.2025	16:37:30.7		1.910129E-3	6.116014E-3	2.225592E+1	5.961040E-3	2.266881E+0	7.728266E-3	1.907986E+1	4.011690E-3	1.407344E+1	3.669536E-3	2.013125E+1	4.150291E-3	1.240787E+1	1.726640E-2	1.987151E+0	9.359383E-2	2.211728E+1	5.305910E-3	5.374563E-1	3.609773E-3	2.180866E+1	3.956894E-3	1.748194E+0	7.413407E-3	2.177928E+1	6.160269E-3	5.900253E-1	5.674971E-3	2.219293E+1	4.425017E-3	2.215083E+1	4.422339E-4	2.717113E+0	0.000000E+0	3.489054E+2	3.500000E+2	9.801000E+0	1.000000E+1	3.000000E-1	0.000000E+0	2.000000E-1	0.000000E+0	6.000000E-1	0.000000E+0	1.000000E-1	0.000000E+0	1.800000E-1	0.000000E+0
16.06.2025	16:37:31.7		8.430854E-4	2.066817E-3	2.225526E+1	3.172261E-3	2.282437E+0	1.014614E-2	1.907877E+1	2.122912E-3	1.407345E+1	1.687922E-3	2.013102E+1	2.672905E-3	1.233243E+1	2.363465E-2	2.001077E+0	5.926773E-2	2.212010E+1	3.706167E-3	5.370889E-1	2.018804E-3	2.181371E+1	6.691226E-4	1.747924E+0	5.021452E-3	2.177860E+1	2.395435E-3	5.895816E-1	3.655624E-3	2.218474E+1	4.303143E-3	2.214353E+1	3.048405E-3	2.861434E+0	0.000000E+0	3.495000E+2	3.500000E+2	9.813848E+0	1.000000E+1	3.000000E-1	0.000000E+0	2.000000E-1	0.000000E+0	7.730377E-1	0.000000E+0	1.000000E-1	0.000000E+0	1.626962E-1	0.000000E+0
16.06.2025	16:37:32.7		1.257332E-3	3.086046E-3	2.225799E+1	1.246371E-3	2.300216E+0	4.855964E-3	1.909096E+1	9.225820E-3	1.408543E+1	1.052073E-2	2.013411E+1	1.887716E-3	1.234857E+1	1.294080E-2	1.987133E+0	9.707317E-2	2.212552E+1	1.458302E-3	5.373116E-1	1.896262E-3	2.181956E+1	3.779192E-3	1.749310E+0	4.532114E-3	2.177772E+1	1.393246E-3	5.906333E-1	3.333456E-3	2.218674E+1	3.296470E-3	2.215082E+1	4.116906E-3	3.200000E+0	0.000000E+0	3.480086E+2	3.500000E+2	9.801128E+0	1.000000E+1	3.596549E-1	0.000000E+0	2.000000E-1	0.000000E+0	6.017255E-1	0.000000E+0	1.994248E-1	0.000000E+0	1.500000E-1	0.000000E+0
16.06.2025	16:37:33.7		1.626920E-3	6.323667E-3	2.225528E+1	2.489530E-3	2.298155E+0	5.050285E-3	1.909342E+1	5.290669E-3	1.407757E+1	6.688822E-3	2.012996E+1	3.559090E-3	1.240402E+1	2.174549E-3	1.995796E+0	9.153912E-2	2.211843E+1	1.991357E-3	5.368773E-1	1.594494E-3	2.181834E+1	3.977739E-5	1.747411E+0	2.640553E-3	2.178174E+1	2.994240E-3	5.894785E-1	2.169276E-3	2.218571E+1	2.226889E-3	2.216085E+1	8.854280E-4	3.200000E+0	0.000000E+0	3.484347E+2	3.500000E+2	9.805304E+0	1.000000E+1	3.252206E-1	0.000000E+0	2.144914E-1	0.000000E+0	6.434742E-1	0.000000E+0	1.710172E-1	0.000000E+0	1.413052E-1	0.000000E+0
16.06.2025	16:37:34.7		9.135024E-4	2.689043E-3	2.226047E+1	4.627154E-3	2.290488E+0	7.184239E-3	1.909593E+1	4.385168E-3	1.407813E+1	5.252510E-3	2.013329E+1	2.732080E-3	1.237212E+1	3.268404E-2	2.000828E+0	1.265191E-1	2.212158E+1	2.802171E-3	5.372210E-1	2.880475E-3	2.181575E+1	1.405535E-3	1.748466E+0	4.726409E-3	2.178905E+1	2.769705E-3	5.895971E-1	3.335572E-3	2.219112E+1	3.411355E-3	2.215772E+1	3.223046E-3	2.951008E+0	0.000000E+0	3.490331E+2	3.500000E+2	9.806606E+0	1.000000E+1	2.773488E-1	0.000000E+0	1.566280E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.311240E-1	0.000000E+0	1.386744E-1	0.000000E+0
16.06.2025	16:37:35.7		1.258682E-3	2.828246E-3	2.225095E+1	1.551938E-2	2.282515E+0	5.386178E-3	1.909217E+1	9.106229E-3	1.407422E+1	8.561850E-3	2.013547E+1	2.418548E-3	1.240193E+1	1.413026E-2	2.007340E+0	1.074628E-1	2.211679E+1	4.713858E-3	5.368908E-1	1.290757E-3	2.180469E+1	8.740274E-3	1.747882E+0	3.002590E-3	2.178112E+1	5.175272E-3	5.890783E-1	2.637566E-3	2.218295E+1	1.218632E-2	2.215071E+1	9.312459E-3	3.200000E+0	0.000000E+0	3.495000E+2	3.500000E+2	9.808425E+0	1.000000E+1	3.000000E-1	0.000000E+0	1.000000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0	0.000000E+0	0.000000E+0
16.06.2025	16:37:36.7		2.668326E-3	8.657138E-3	2.224553E+1	2.039972E-3	2.275630E+0	6.464604E-3	1.908539E+1	1.716685E-3	1.406846E+1	6.571486E-3	2.012379E+1	6.909726E-3	1.244983E+1	2.618554E-2	1.972459E+0	7.163173E-2	2.211346E+1	3.379206E-3	5.368721E-1	1.975867E-3	2.180870E+1	2.364158E-3	1.746986E+0	4.169006E-3	2.177922E+1	3.629434E-3	5.883728E-1	2.952613E-3	2.218825E+1	3.379133E-3	2.214672E+1	1.414405E-3	3.200000E+0	0.000000E+0	3.498244E+2	3.500000E+2	9.811637E+0	1.000000E+1	3.259528E-1	0.000000E+0	1.216274E-1	0.000000E+0	8.148821E-1	0.000000E+0	1.500000E-1	0.000000E+0	6.488206E-2	0.000000E+0
16.06.2025	16:37:37.7		2.066406E-3	7.780359E-3	2.225293E+1	3.594354E-3	2.263981E+0	7.393979E-3	1.909810E+1	9.135273E-3	1.407674E+1	1.008201E-2	2.013129E+1	1.047850E-2	1.243630E+1	2.029986E-2	1.988352E+0	1.075673E-1	2.211724E+1	5.269156E-3	5.361041E-1	3.448976E-3	2.181749E+1	8.590297E-3	1.745695E+0	7.728075E-3	2.177819E+1	2.528577E-3	5.876068E-1	5.434628E-3	2.218931E+1	3.039363E-3	2.215543E+1	5.187334E-3	3.200000E+0	0.000000E+0	3.496920E+2	3.500000E+2	9.815850E+0	1.000000E+1	3.153589E-1	0.000000E+0	1.872009E-1	0.000000E+0	7.883972E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.276794E-1	0.000000E+0
16.06.2025	16:37:38.7		1.120763E-3	3.704644E-3	2.224979E+1	1.905414E-3	2.262618E+0	5.563291E-3	1.908708E+1	1.385730E-3	1.408150E+1	2.833843E-3	2.012569E+1	4.624225E-3	1.238428E+1	1.544531E-2	1.997981E+0	7.975119E-2	2.211747E+1	2.415891E-3	5.371901E-1	2.199722E-3	2.180751E+1	3.278988E-3	1.748631E+0	9.526322E-3	2.177598E+1	7.847366E-4	5.900021E-1	8.954274E-3	2.218172E+1	2.964623E-3	2.214599E+1	7.578345E-3	3.200000E+0	0.000000E+0	3.502500E+2	3.500000E+2	9.801000E+0	1.000000E+1	3.000000E-1	0.000000E+0	2.000000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.000000E-1	0.000000E+0	1.800000E-1	0.000000E+0
16.06.2025	16:37:39.7		1.653738E-3	4.944667E-3	2.224859E+1	6.203831E-3	2.266747E+0	5.505657E-3	1.908455E+1	1.041121E-2	1.407924E+1	3.617217E-4	2.011670E+1	3.380253E-3	1.241312E+1	1.707184E-2	1.985434E+0	8.234870E-2	2.211142E+1	4.760697E-3	5.367621E-1	3.128662E-3	2.180695E+1	3.595689E-3	1.746971E+0	5.733031E-3	2.177951E+1	3.191145E-3	5.885170E-1	4.585327E-3	2.218412E+1	4.299661E-3	2.214852E+1	4.306098E-3	3.200000E+0	0.000000E+0	3.498418E+2	3.500000E+2	9.813124E+0	1.000000E+1	3.326559E-1	0.000000E+0	1.727867E-1	0.000000E+0	8.316398E-1	0.000000E+0	1.272133E-1	0.000000E+0	1.636720E-1	0.000000E+0
16.06.2025	16:37:40.7		5.359638E-4	2.024916E-3	2.226247E+1	5.100803E-3	2.270943E+0	7.360935E-3	1.910424E+1	4.586864E-3	1.408867E+1	8.206769E-3	2.012735E+1	5.486091E-3	1.240144E+1	1.821441E-2	1.990901E+0	7.045795E-2	2.212040E+1	5.387995E-3	5.375253E-1	3.283537E-3	2.181402E+1	2.208005E-3	1.749439E+0	1.161848E-2	2.178184E+1	4.678172E-3	5.905419E-1	8.859886E-3	2.219230E+1	3.240902E-3	2.215491E+1	3.664188E-3	3.200000E+0	0.000000E+0	3.495000E+2	3.500000E+2	9.809036E+0	1.000000E+1	3.600000E-1	0.000000E+0	1.500000E-1	0.000000E+0	9.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0
16.06.2025	16:37:41.7		2.975765E-3	1.175563E-2	2.224576E+1	6.725397E-4	2.280018E+0	7.781478E-3	1.909053E+1	4.521682E-4	1.408045E+1	5.848632E-3	2.012446E+1	1.151074E-3	1.242250E+1	1.672143E-2	2.004325E+0	8.058073E-2	2.210799E+1	3.605390E-3	5.363408E-1	3.955745E-3	2.181112E+1	1.318636E-3	1.746039E+0	9.016727E-3	2.178097E+1	2.171752E-3	5.881024E-1	6.634675E-3	2.218295E+1	4.820249E-3	2.214552E+1	6.913325E-3	3.200000E+0	0.000000E+0	3.495000E+2	3.500000E+2	9.813534E+0	1.000000E+1	3.187172E-1	0.000000E+0	1.500000E-1	0.000000E+0	8.483966E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.396793E-1	0.000000E+0
