date	time	comment	HEAT_#96:_Volume_[sl/min]	HEAT_#96:_mass_[g/min]	HEAT_#96:_mass_[g/s]	shield_airshield_air_#96:_Volume_[sl/min]	shield_airshield_air_#96:_mass_[g/min]	shield_airshield_air_#96:_mass_[g/s]	T_Heater	T_Heater.set	0.0	0.1	0.2	0.3	ai0:_P0_plenum	ai0:_P0_plenum_Stabw	ai0:_T0_plenum	ai0:_T0_plenum_Stabw	ai0:_g0_137_hood	ai0:_g0_137_hood_Stabw	ai12:_HEAT_T1	ai12:_HEAT_T1_Stabw	ai13:_HEAT_T2	ai13:_HEAT_T2_Stabw	ai14:_HEAT_T3	ai14:_HEAT_T3_Stabw	ai15:_HEAT_T4	ai15:_HEAT_T4_Stabw	ai1:_P1_fuel_HEAT	ai1:_P1_fuel_HEAT_Stabw	ai1:_T1_main_air	ai1:_T1_main_air_Stabw	ai1:_g1_135_bur	ai1:_g1_135_bur_Stabw	ai2:_T2_pilot_air_1	ai2:_T2_pilot_air_1_Stabw	ai2:_g2_137_scr	ai2:_g2_137_scr_Stabw	ai3:_T3_pilot_air_2	ai3:_T3_pilot_air_2_Stabw	ai3:_g3_135_mfc	ai3:_g3_135_mfc_Stabw	ai4:_T4_por_in	ai4:_T4_por_in_Stabw	ai6:_T6_shield	ai6:_T6_shield_Stabw	AIR-MAI	AIR-MAI.set	AIR-PIL	AIR-PIL.set	AIRHEAT	AIRHEAT.set	CH4-PIL	CH4-PIL.set	H2-MAIN	H2-MAIN.set	H2-PILO	H2-PILO.set	N2	N2.set	NH3-MAI	NH3-MAI.set
			[°C]	[kg/m3]	[m3/s]	[sl/min]	[g/min]	[g/s]									°C	°C	V	V	°C	°C	°C	°C	°C	°C	°C	°C			°C	°C	V	V	°C	°C	V	V	°C	°C	V	V	°C	°C	°C	°C	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/Min	L/Min	L/Min	L/Min
																																																														
16.05.2025	15:51:02.3		1.001659E+1	1.295145E+1	2.158576E-1	1.002375E+1	1.296071E+1	2.160119E-1	4.209317E+2	4.150000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	5.767991E-2	6.440727E-3	2.161611E+1	2.623993E-3	2.077155E+0	1.555556E-2	3.362151E+2	1.031016E-2	1.986826E+2	4.019401E-1	4.715841E+1	8.852565E-2	2.958569E+2	9.492371E-3	3.486137E+0	6.563239E-2	2.165990E+1	1.530617E-3	5.249529E-1	2.220188E-3	2.196416E+1	4.037856E-3	1.530757E+0	5.301313E-3	2.193493E+1	8.890964E-4	5.600315E-1	4.442267E-3	2.218409E+1	9.629577E-4	2.221030E+1	2.542371E-3	1.004000E+2	1.000000E+2	3.502500E+2	3.500000E+2	9.823275E+0	1.000000E+1	3.000000E-1	0.000000E+0	2.000000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.000000E-1	0.000000E+0	1.200000E-1	0.000000E+0
16.05.2025	15:51:03.3		1.002142E+1	1.295770E+1	2.159617E-1	1.001910E+1	1.295469E+1	2.159115E-1	4.090401E+2	4.150000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	5.660885E-2	1.102540E-2	2.160463E+1	4.712904E-3	2.067256E+0	8.618867E-3	3.361760E+2	1.252290E-2	1.986882E+2	6.272632E-1	4.728631E+1	1.092159E-1	2.958311E+2	9.230176E-3	3.462935E+0	8.463416E-2	2.165721E+1	1.915032E-3	5.249397E-1	3.991648E-3	2.196171E+1	3.728776E-3	1.530343E+0	7.844493E-3	2.193409E+1	3.589139E-3	5.604443E-1	6.467451E-3	2.217899E+1	4.748357E-3	2.220821E+1	1.879345E-3	9.963686E+1	1.000000E+2	3.502500E+2	3.500000E+2	9.830700E+0	1.000000E+1	3.600000E-1	0.000000E+0	1.000000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0	0.000000E+0	0.000000E+0
16.05.2025	15:51:04.3		1.002350E+1	1.296039E+1	2.160065E-1	1.002058E+1	1.295660E+1	2.159434E-1	4.206129E+2	4.150000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	5.747289E-2	9.810083E-3	2.160649E+1	9.721640E-4	2.070878E+0	1.240714E-2	3.361453E+2	1.107868E-2	1.980788E+2	3.037435E-1	4.687184E+1	2.237405E-1	2.958090E+2	7.062757E-3	3.458590E+0	1.192880E-1	2.166120E+1	3.492551E-3	5.245594E-1	6.265350E-3	2.196175E+1	3.130894E-3	1.529553E+0	1.075367E-2	2.193275E+1	3.014889E-3	5.601138E-1	7.979752E-3	2.218094E+1	3.076824E-3	2.220367E+1	3.162776E-3	1.008000E+2	1.000000E+2	3.510000E+2	3.500000E+2	9.823275E+0	1.000000E+1	4.200000E-1	0.000000E+0	2.500000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0
16.05.2025	15:51:05.3		1.002605E+1	1.296369E+1	2.160615E-1	1.002184E+1	1.295824E+1	2.159706E-1	4.092644E+2	4.150000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	5.885528E-2	1.480232E-2	2.160993E+1	3.498003E-3	2.080610E+0	9.103629E-3	3.361259E+2	2.910073E-3	1.992219E+2	1.193894E+0	4.663310E+1	1.498923E-1	2.958055E+2	1.206034E-3	3.457043E+0	1.158987E-1	2.165941E+1	2.341830E-3	5.246711E-1	2.606843E-3	2.196451E+1	2.455098E-3	1.530154E+0	6.305977E-3	2.193302E+1	3.249728E-3	5.609526E-1	4.482976E-3	2.218326E+1	3.298663E-3	2.220954E+1	2.003631E-3	1.008000E+2	1.000000E+2	3.495000E+2	3.500000E+2	9.830700E+0	1.000000E+1	3.000000E-1	0.000000E+0	2.000000E-1	0.000000E+0	6.000000E-1	0.000000E+0	2.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0
16.05.2025	15:51:06.3		1.002133E+1	1.295758E+1	2.159596E-1	1.002681E+1	1.296467E+1	2.160779E-1	4.196332E+2	4.150000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	5.812278E-2	1.277052E-2	2.161075E+1	1.419496E-3	2.116190E+0	1.061118E-2	3.361327E+2	6.683292E-3	2.004097E+2	3.380433E-1	4.666643E+1	1.586736E-1	2.958034E+2	2.519740E-3	3.445455E+0	9.094078E-2	2.165828E+1	3.222345E-3	5.250480E-1	3.017409E-3	2.196680E+1	1.689700E-3	1.531826E+0	9.685232E-3	2.193245E+1	2.251335E-3	5.626894E-1	9.059248E-3	2.218531E+1	1.173889E-3	2.221151E+1	8.766191E-4	1.004000E+2	1.000000E+2	3.502500E+2	3.500000E+2	9.823275E+0	1.000000E+1	3.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.000000E-1	0.000000E+0	1.200000E-1	0.000000E+0
16.05.2025	15:51:07.3		1.001564E+1	1.295022E+1	2.158370E-1	1.001689E+1	1.295184E+1	2.158640E-1	4.096847E+2	4.150000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	5.647674E-2	6.272268E-3	2.160770E+1	2.629909E-3	2.124057E+0	1.151589E-2	3.361500E+2	6.992941E-3	1.990801E+2	1.421133E+0	4.687476E+1	5.488315E-2	2.958061E+2	3.544949E-3	3.461495E+0	9.188106E-2	2.165163E+1	3.259421E-3	5.250396E-1	2.277443E-3	2.195922E+1	5.252830E-3	1.531988E+0	6.803208E-3	2.193481E+1	7.195303E-4	5.620939E-1	5.270846E-3	2.218467E+1	3.149717E-4	2.220841E+1	2.212506E-3	1.004000E+2	1.000000E+2	3.502500E+2	3.500000E+2	9.815850E+0	1.000000E+1	3.600000E-1	0.000000E+0	2.500000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0
16.05.2025	15:51:08.3		1.001187E+1	1.294535E+1	2.157558E-1	1.001526E+1	1.294973E+1	2.158289E-1	4.211897E+2	4.150000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	5.822278E-2	8.790506E-3	2.161044E+1	5.152225E-3	2.130401E+0	8.541614E-3	3.361490E+2	8.693281E-3	1.997760E+2	3.144712E-1	4.642169E+1	9.326961E-2	2.958305E+2	8.175135E-3	3.457872E+0	7.375966E-2	2.166296E+1	4.253415E-3	5.248060E-1	3.013143E-3	2.195929E+1	7.199295E-4	1.530895E+0	4.384732E-3	2.193669E+1	1.075446E-3	5.602734E-1	4.208350E-3	2.219349E+1	1.820536E-3	2.220900E+1	2.548015E-3	1.008000E+2	1.000000E+2	3.495000E+2	3.500000E+2	9.838125E+0	1.000000E+1	3.000000E-1	0.000000E+0	2.000000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0
16.05.2025	15:51:09.3		1.001076E+1	1.294391E+1	2.157319E-1	1.001131E+1	1.294463E+1	2.157438E-1	4.082236E+2	4.150000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	5.726631E-2	1.492181E-2	2.160331E+1	2.570381E-3	2.147634E+0	1.099786E-2	3.361916E+2	2.274020E-2	1.997232E+2	4.437441E-1	4.633047E+1	1.496643E-1	2.958535E+2	1.156017E-2	3.464891E+0	7.603984E-2	2.165503E+1	3.521333E-3	5.242972E-1	2.657521E-3	2.196071E+1	1.352906E-3	1.530333E+0	5.622171E-3	2.193303E+1	2.104443E-3	5.589687E-1	4.445687E-3	2.219038E+1	2.803134E-3	2.220643E+1	3.590835E-3	1.004000E+2	1.000000E+2	3.495000E+2	3.500000E+2	9.838125E+0	1.000000E+1	3.000000E-1	0.000000E+0	2.000000E-1	0.000000E+0	7.500000E-1	0.000000E+0	2.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0
