date	time	comment	HEAT_#96:_Volume_[sl/min]	HEAT_#96:_mass_[g/min]	HEAT_#96:_mass_[g/s]	shield_airshield_air_#96:_Volume_[sl/min]	shield_airshield_air_#96:_mass_[g/min]	shield_airshield_air_#96:_mass_[g/s]	T_Heater	T_Heater.set	0.0	0.1	0.2	0.3	ai0:_P0_plenum	ai0:_P0_plenum_Stabw	ai0:_T0_plenum	ai0:_T0_plenum_Stabw	ai0:_g0_137_hood	ai0:_g0_137_hood_Stabw	ai12:_HEAT_T1	ai12:_HEAT_T1_Stabw	ai13:_HEAT_T2	ai13:_HEAT_T2_Stabw	ai14:_HEAT_T3	ai14:_HEAT_T3_Stabw	ai15:_HEAT_T4	ai15:_HEAT_T4_Stabw	ai1:_P1_fuel_HEAT	ai1:_P1_fuel_HEAT_Stabw	ai1:_T1_main_air	ai1:_T1_main_air_Stabw	ai1:_g1_135_bur	ai1:_g1_135_bur_Stabw	ai2:_T2_pilot_air_1	ai2:_T2_pilot_air_1_Stabw	ai2:_g2_137_scr	ai2:_g2_137_scr_Stabw	ai3:_T3_pilot_air_2	ai3:_T3_pilot_air_2_Stabw	ai3:_g3_135_mfc	ai3:_g3_135_mfc_Stabw	ai4:_T4_por_in	ai4:_T4_por_in_Stabw	ai6:_T6_shield	ai6:_T6_shield_Stabw	AIR-MAI	AIR-MAI.set	AIR-PIL	AIR-PIL.set	AIRHEAT	AIRHEAT.set	CH4-PIL	CH4-PIL.set	H2-MAIN	H2-MAIN.set	H2-PILO	H2-PILO.set	N2	N2.set	NH3-MAI	NH3-MAI.set
			[°C]	[kg/m3]	[m3/s]	[sl/min]	[g/min]	[g/s]									°C	°C	V	V	°C	°C	°C	°C	°C	°C	°C	°C			°C	°C	V	V	°C	°C	V	V	°C	°C	V	V	°C	°C	°C	°C	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/Min	L/Min	L/Min	L/Min
																																																														
16.05.2025	15:48:50.7		6.549835E+0	8.468936E+0	1.411489E-1	6.555896E+0	8.476773E+0	1.412796E-1	4.092620E+2	4.050000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	5.789975E-2	1.296411E-2	2.160421E+1	4.214347E-3	2.031096E+0	1.280807E-2	3.387043E+2	1.000387E-2	2.079732E+2	1.682831E-1	5.061338E+1	3.500946E-1	3.007744E+2	1.989282E-2	1.990755E+0	1.065520E-1	2.164364E+1	1.822889E-3	5.254882E-1	4.341732E-3	2.193593E+1	2.076598E-3	1.517699E+0	1.144777E-2	2.191624E+1	4.259727E-3	5.632480E-1	8.402657E-3	2.218135E+1	3.262450E-3	2.220383E+1	4.261139E-3	1.000207E+2	1.000000E+2	3.502500E+2	3.500000E+2	6.185025E+0	6.300000E+0	3.600000E-1	0.000000E+0	2.025861E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0
16.05.2025	15:48:51.7		6.550761E+0	8.470134E+0	1.411689E-1	6.550869E+0	8.470274E+0	1.411712E-1	3.985571E+2	4.050000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	5.727446E-2	1.179431E-2	2.160327E+1	5.583431E-3	2.028872E+0	1.199503E-2	3.387021E+2	6.367615E-3	2.084305E+2	3.036091E-1	5.089803E+1	2.087242E-1	3.007950E+2	1.264359E-2	1.985662E+0	9.967592E-2	2.164250E+1	2.521783E-3	5.249919E-1	3.106187E-3	2.193704E+1	2.017432E-3	1.516607E+0	7.336295E-3	2.191574E+1	2.678626E-3	5.626011E-1	5.472232E-3	2.217904E+1	4.722412E-3	2.220199E+1	3.379236E-3	1.002040E+2	1.000000E+2	3.502500E+2	3.500000E+2	6.188663E+0	6.300000E+0	3.600000E-1	0.000000E+0	2.255042E-1	0.000000E+0	6.765125E-1	0.000000E+0	1.489917E-1	0.000000E+0	1.500000E-1	0.000000E+0
16.05.2025	15:48:52.7		6.546494E+0	8.464616E+0	1.410769E-1	6.547437E+0	8.465836E+0	1.410973E-1	4.098841E+2	4.050000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	5.753387E-2	1.425335E-2	2.160589E+1	3.096968E-3	2.019371E+0	8.568820E-3	3.387166E+2	1.074193E-2	2.088323E+2	4.191747E-1	5.091240E+1	8.650731E-2	3.008368E+2	1.157676E-2	1.980063E+0	7.970313E-2	2.164578E+1	3.102210E-3	5.245192E-1	2.780335E-3	2.194173E+1	3.221405E-3	1.515174E+0	6.157823E-3	2.191319E+1	9.363923E-4	5.617238E-1	4.890921E-3	2.218141E+1	2.867658E-3	2.220484E+1	1.261597E-3	1.000000E+2	1.000000E+2	3.502500E+2	3.500000E+2	6.192450E+0	6.300000E+0	3.600000E-1	0.000000E+0	2.000000E-1	0.000000E+0	6.000000E-1	0.000000E+0	2.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0
16.05.2025	15:48:53.7		6.550608E+0	8.469936E+0	1.411656E-1	6.550608E+0	8.469936E+0	1.411656E-1	3.974730E+2	4.050000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	5.824142E-2	1.203839E-2	2.161046E+1	2.377223E-3	2.010291E+0	6.016530E-3	3.387388E+2	1.153166E-2	2.079330E+2	6.429993E-1	5.085862E+1	1.213062E-1	3.008614E+2	1.011577E-2	1.966657E+0	1.020665E-1	2.164760E+1	2.807997E-3	5.247467E-1	2.890986E-3	2.194548E+1	4.005489E-3	1.515783E+0	7.504627E-3	2.191293E+1	1.592259E-3	5.622230E-1	5.778702E-3	2.218487E+1	6.900255E-4	2.220649E+1	2.574371E-3	1.002489E+2	1.000000E+2	3.502500E+2	3.500000E+2	6.180406E+0	6.300000E+0	3.600000E-1	0.000000E+0	2.000000E-1	0.000000E+0	5.066810E-1	0.000000E+0	1.311063E-1	0.000000E+0	1.200000E-1	0.000000E+0
16.05.2025	15:48:54.7		6.562397E+0	8.485180E+0	1.414197E-1	6.562397E+0	8.485180E+0	1.414197E-1	4.086666E+2	4.050000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	5.804874E-2	8.550862E-3	2.160550E+1	4.071933E-3	2.004179E+0	9.099013E-3	3.387438E+2	8.482609E-3	2.057819E+2	8.978667E-1	5.081485E+1	8.287212E-2	3.008611E+2	3.132273E-3	1.963974E+0	1.034824E-1	2.164420E+1	1.791813E-3	5.249977E-1	1.867007E-3	2.194441E+1	1.717523E-3	1.516674E+0	4.952537E-3	2.191375E+1	2.619083E-3	5.627704E-1	3.643104E-3	2.218054E+1	5.190068E-3	2.219918E+1	2.523620E-3	1.000000E+2	1.000000E+2	3.502500E+2	3.500000E+2	6.185025E+0	6.300000E+0	3.600000E-1	0.000000E+0	2.000000E-1	0.000000E+0	6.000000E-1	0.000000E+0	1.000000E-1	0.000000E+0	1.200000E-1	0.000000E+0
16.05.2025	15:48:55.7		6.559667E+0	8.481649E+0	1.413608E-1	6.559667E+0	8.481649E+0	1.413608E-1	3.979705E+2	4.050000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	5.865729E-2	9.670396E-3	2.160341E+1	6.159268E-3	2.008503E+0	8.931550E-3	3.387303E+2	1.751340E-2	2.042412E+2	9.315602E-1	5.058530E+1	1.453313E-1	3.008300E+2	1.584108E-2	1.976438E+0	8.211779E-2	2.164034E+1	2.698249E-3	5.249884E-1	1.764408E-3	2.193904E+1	9.656846E-4	1.516672E+0	4.951108E-3	2.191320E+1	1.797243E-3	5.625363E-1	3.565912E-3	2.217640E+1	4.959411E-3	2.219730E+1	3.776211E-3	1.005976E+2	1.000000E+2	3.502500E+2	3.500000E+2	6.185025E+0	6.300000E+0	3.600000E-1	0.000000E+0	1.873507E-1	0.000000E+0	6.758959E-1	0.000000E+0	1.126493E-1	0.000000E+0	1.275896E-1	0.000000E+0
16.05.2025	15:48:56.7		6.554359E+0	8.474787E+0	1.412465E-1	6.554359E+0	8.474787E+0	1.412465E-1	4.080852E+2	4.050000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	5.817673E-2	1.020551E-2	2.160236E+1	4.909054E-3	2.023679E+0	1.175927E-2	3.386772E+2	2.946608E-2	2.034368E+2	7.284869E-1	5.059550E+1	1.620108E-1	3.007612E+2	2.983143E-2	1.976445E+0	1.072654E-1	2.164089E+1	3.092920E-3	5.252093E-1	2.389243E-3	2.193871E+1	3.025414E-3	1.516909E+0	6.422663E-3	2.191579E+1	2.061104E-3	5.625920E-1	4.659768E-3	2.217784E+1	2.577804E-3	2.220240E+1	4.088336E-3	1.000000E+2	1.000000E+2	3.502500E+2	3.500000E+2	6.185025E+0	6.300000E+0	3.600000E-1	0.000000E+0	1.500000E-1	0.000000E+0	9.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0
16.05.2025	15:48:57.7		6.558503E+0	8.480144E+0	1.413357E-1	6.558503E+0	8.480144E+0	1.413357E-1	3.967724E+2	4.050000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	5.745143E-2	7.073886E-3	2.160118E+1	1.387139E-3	2.036494E+0	1.189218E-2	3.385862E+2	3.334478E-2	2.022460E+2	2.966682E-1	5.063514E+1	6.629835E-2	3.006760E+2	3.339677E-2	1.975998E+0	1.003426E-1	2.164754E+1	2.284884E-3	5.250255E-1	1.742692E-3	2.194548E+1	2.413200E-3	1.516270E+0	4.168579E-3	2.192002E+1	2.479990E-3	5.616734E-1	3.475422E-3	2.218245E+1	2.438857E-3	2.220524E+1	2.584584E-3	1.004000E+2	1.000000E+2	3.495000E+2	3.500000E+2	6.185025E+0	6.300000E+0	3.600000E-1	0.000000E+0	2.000000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0
