date	time	comment	HEAT_#96:_Volume_[sl/min]	HEAT_#96:_mass_[g/min]	HEAT_#96:_mass_[g/s]	shield_airshield_air_#96:_Volume_[sl/min]	shield_airshield_air_#96:_mass_[g/min]	shield_airshield_air_#96:_mass_[g/s]	T_Heater	T_Heater.set	ai0:_P0_plenum	ai0:_P0_plenum_Stabw	ai0:_T0_plenum	ai0:_T0_plenum_Stabw	ai0:_g0_137_hood	ai0:_g0_137_hood_Stabw	ai12:_HEAT_T1	ai12:_HEAT_T1_Stabw	ai13:_HEAT_T2	ai13:_HEAT_T2_Stabw	ai14:_HEAT_T3	ai14:_HEAT_T3_Stabw	ai15:_HEAT_T4	ai15:_HEAT_T4_Stabw	ai1:_P1_fuel_HEAT	ai1:_P1_fuel_HEAT_Stabw	ai1:_T1_main_air	ai1:_T1_main_air_Stabw	ai1:_g1_135_bur	ai1:_g1_135_bur_Stabw	ai2:_T2_pilot_air_1	ai2:_T2_pilot_air_1_Stabw	ai2:_g2_137_scr	ai2:_g2_137_scr_Stabw	ai3:_T3_pilot_air_2	ai3:_T3_pilot_air_2_Stabw	ai3:_g3_135_mfc	ai3:_g3_135_mfc_Stabw	ai4:_T4_por_in	ai4:_T4_por_in_Stabw	ai6:_T6_shield	ai6:_T6_shield_Stabw	AIR-MAI	AIR-MAI.set	AIR-PIL	AIR-PIL.set	AIRHEAT	AIRHEAT.set	CH4-PIL	CH4-PIL.set	H2-MAIN	H2-MAIN.set	H2-PILO	H2-PILO.set	N2	N2.set	NH3-MAI	NH3-MAI.set
			[°C]	[kg/m3]	[m3/s]	[sl/min]	[g/min]	[g/s]					°C	°C	V	V	°C	°C	°C	°C	°C	°C	°C	°C			°C	°C	V	V	°C	°C	V	V	°C	°C	V	V	°C	°C	°C	°C	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/Min	L/Min	L/Min	L/Min
																																																										
19.05.2025	15:47:00.7		1.330820E+1	1.720750E+1	2.867917E-1	1.331461E+1	1.721580E+1	2.869299E-1	3.133747E+2	3.100000E+2	2.166516E-3	7.665297E-3	2.198719E+1	1.528411E-3	2.156604E+0	8.027299E-3	2.378706E+2	1.883400E-2	1.309683E+2	2.426943E-1	3.649419E+1	1.557519E-1	2.102127E+2	1.023225E-2	4.508721E+0	8.548171E-2	2.210739E+1	3.423758E-3	5.425427E-1	2.184162E-3	2.190326E+1	4.335413E-3	1.797451E+0	5.207396E-3	2.188405E+1	6.703610E-4	5.786498E-1	3.849155E-3	2.223073E+1	2.798763E-3	2.217165E+1	2.282188E-3	3.197014E+0	0.000000E+0	3.509888E+2	3.500000E+2	1.286753E+1	1.310000E+1	3.004479E-1	0.000000E+0	1.992535E-1	0.000000E+0	4.511198E-1	0.000000E+0	2.492535E-1	0.000000E+0	1.202240E-1	0.000000E+0
19.05.2025	15:47:01.7		1.330620E+1	1.720492E+1	2.867486E-1	1.330620E+1	1.720492E+1	2.867486E-1	3.047763E+2	3.100000E+2	2.233397E-3	5.981796E-3	2.198396E+1	3.271360E-3	2.158679E+0	7.480104E-3	2.378479E+2	8.913817E-3	1.308174E+2	2.839697E-1	3.647156E+1	1.356318E-1	2.102196E+2	1.521597E-2	4.497530E+0	6.562429E-2	2.210752E+1	3.692600E-3	5.430126E-1	2.175468E-3	2.190579E+1	3.313037E-3	1.798249E+0	5.545997E-3	2.188565E+1	2.682932E-3	5.792556E-1	3.714003E-3	2.222788E+1	6.042007E-3	2.217393E+1	4.413164E-3	2.800000E+0	0.000000E+0	3.495000E+2	3.500000E+2	1.286753E+1	1.310000E+1	3.600000E-1	0.000000E+0	1.000000E-1	0.000000E+0	6.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0
19.05.2025	15:47:02.7		1.332374E+1	1.722760E+1	2.871267E-1	1.332374E+1	1.722760E+1	2.871267E-1	3.124345E+2	3.100000E+2	1.957826E-3	5.568751E-3	2.199166E+1	5.379357E-3	2.167880E+0	6.063288E-3	2.378542E+2	5.722699E-3	1.308260E+2	2.307606E-1	3.628730E+1	1.060871E-1	2.102178E+2	7.975789E-3	4.494737E+0	8.780390E-2	2.211368E+1	6.802533E-3	5.427983E-1	1.947732E-3	2.191141E+1	2.930699E-3	1.797656E+0	5.165821E-3	2.188986E+1	4.329180E-3	5.787842E-1	3.587077E-3	2.223136E+1	5.523406E-3	2.217525E+1	4.127462E-3	3.200000E+0	0.000000E+0	3.495000E+2	3.500000E+2	1.285267E+1	1.310000E+1	3.600000E-1	0.000000E+0	2.000000E-1	0.000000E+0	6.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0
19.05.2025	15:47:03.7		1.332053E+1	1.722345E+1	2.870575E-1	1.332053E+1	1.722345E+1	2.870575E-1	3.045599E+2	3.100000E+2	1.919918E-3	5.777340E-3	2.199124E+1	2.186108E-3	2.181841E+0	1.165037E-2	2.378730E+2	2.144093E-3	1.308429E+2	2.368130E-1	3.626475E+1	6.004482E-2	2.102100E+2	6.877022E-3	4.500230E+0	1.051706E-1	2.211124E+1	7.021770E-3	5.425768E-1	1.766841E-3	2.190732E+1	3.744912E-3	1.796145E+0	5.231127E-3	2.188872E+1	4.622727E-3	5.780029E-1	3.574480E-3	2.222964E+1	2.932926E-3	2.217092E+1	2.335391E-3	3.200000E+0	0.000000E+0	3.495000E+2	3.500000E+2	1.286221E+1	1.310000E+1	3.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0	0.000000E+0	0.000000E+0
19.05.2025	15:47:04.7		1.331860E+1	1.722095E+1	2.870159E-1	1.331860E+1	1.722095E+1	2.870159E-1	3.137783E+2	3.100000E+2	2.200979E-3	6.512947E-3	2.199006E+1	2.030492E-3	2.222071E+0	1.808995E-2	2.378896E+2	7.464233E-3	1.308516E+2	1.362179E-1	3.637776E+1	8.593953E-2	2.102180E+2	1.275159E-2	4.504932E+0	1.007410E-1	2.210877E+1	5.011734E-3	5.429975E-1	3.089405E-3	2.190630E+1	4.341152E-3	1.796755E+0	7.682601E-3	2.188840E+1	5.397053E-3	5.786220E-1	5.577630E-3	2.222713E+1	2.146369E-3	2.216781E+1	2.451257E-3	2.800000E+0	0.000000E+0	3.487500E+2	3.500000E+2	1.284525E+1	1.310000E+1	3.600000E-1	0.000000E+0	2.000000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0	0.000000E+0	0.000000E+0
19.05.2025	15:47:05.7		1.331388E+1	1.721485E+1	2.869141E-1	1.331331E+1	1.721411E+1	2.869017E-1	3.034265E+2	3.100000E+2	1.209039E-3	2.884777E-3	2.198846E+1	1.655642E-3	2.271901E+0	1.478703E-2	2.379119E+2	1.421248E-2	1.309704E+2	4.490352E-2	3.637048E+1	6.313891E-2	2.102306E+2	9.108101E-3	4.511755E+0	8.981584E-2	2.211231E+1	1.278659E-3	5.426697E-1	3.141878E-3	2.190857E+1	2.709741E-3	1.796517E+0	6.494458E-3	2.188678E+1	2.076205E-3	5.785959E-1	5.223589E-3	2.222968E+1	1.480675E-3	2.217336E+1	3.961191E-3	2.823681E+0	0.000000E+0	3.495444E+2	3.500000E+2	1.286010E+1	1.310000E+1	3.564479E-1	0.000000E+0	2.440798E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.482239E-1	0.000000E+0
19.05.2025	15:47:06.7		1.331557E+1	1.721703E+1	2.869505E-1	1.331557E+1	1.721703E+1	2.869505E-1	3.132997E+2	3.100000E+2	1.230471E-3	3.409530E-3	2.198735E+1	1.319241E-3	2.306499E+0	1.406960E-2	2.379329E+2	1.378376E-2	1.310822E+2	8.381020E-2	3.641484E+1	4.281713E-2	2.102421E+2	5.030498E-3	4.503191E+0	9.150574E-2	2.211121E+1	1.751782E-3	5.422007E-1	2.335454E-3	2.190649E+1	4.248091E-3	1.795839E+0	4.322314E-3	2.188688E+1	4.380238E-4	5.783599E-1	3.129038E-3	2.223234E+1	9.002279E-4	2.217706E+1	2.333378E-3	3.200000E+0	0.000000E+0	3.502500E+2	3.500000E+2	1.286010E+1	1.310000E+1	3.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.200000E-1	0.000000E+0
19.05.2025	15:47:07.7		1.331877E+1	1.722116E+1	2.870194E-1	1.331725E+1	1.721920E+1	2.869867E-1	3.052299E+2	3.100000E+2	1.330693E-3	3.981525E-3	2.198740E+1	2.418289E-3	2.312052E+0	1.063048E-2	2.379429E+2	1.003336E-2	1.312690E+2	1.445516E-1	3.646499E+1	9.981827E-3	2.102503E+2	6.799620E-3	4.501349E+0	8.761387E-2	2.210827E+1	3.463543E-3	5.428455E-1	4.205284E-3	2.190657E+1	1.944479E-3	1.797137E+0	7.458341E-3	2.188568E+1	4.970189E-4	5.794218E-1	5.792871E-3	2.222940E+1	1.886580E-3	2.217436E+1	6.923824E-4	3.200000E+0	0.000000E+0	3.502500E+2	3.500000E+2	1.285267E+1	1.310000E+1	3.600000E-1	0.000000E+0	2.000000E-1	0.000000E+0	9.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0	0.000000E+0	0.000000E+0
