date	time	comment	HEAT_#96:_Volume_[sl/min]	HEAT_#96:_mass_[g/min]	HEAT_#96:_mass_[g/s]	shield_airshield_air_#96:_Volume_[sl/min]	shield_airshield_air_#96:_mass_[g/min]	shield_airshield_air_#96:_mass_[g/s]	T_Heater	T_Heater.set	0.0	0.1	0.2	0.3	ai0:_P0_plenum	ai0:_P0_plenum_Stabw	ai0:_T0_plenum	ai0:_T0_plenum_Stabw	ai0:_g0_137_hood	ai0:_g0_137_hood_Stabw	ai12:_HEAT_T1	ai12:_HEAT_T1_Stabw	ai13:_HEAT_T2	ai13:_HEAT_T2_Stabw	ai14:_HEAT_T3	ai14:_HEAT_T3_Stabw	ai15:_HEAT_T4	ai15:_HEAT_T4_Stabw	ai1:_P1_fuel_HEAT	ai1:_P1_fuel_HEAT_Stabw	ai1:_T1_main_air	ai1:_T1_main_air_Stabw	ai1:_g1_135_bur	ai1:_g1_135_bur_Stabw	ai2:_T2_pilot_air_1	ai2:_T2_pilot_air_1_Stabw	ai2:_g2_137_scr	ai2:_g2_137_scr_Stabw	ai3:_T3_pilot_air_2	ai3:_T3_pilot_air_2_Stabw	ai3:_g3_135_mfc	ai3:_g3_135_mfc_Stabw	ai4:_T4_por_in	ai4:_T4_por_in_Stabw	ai6:_T6_shield	ai6:_T6_shield_Stabw	AIR-MAI	AIR-MAI.set	AIR-PIL	AIR-PIL.set	AIRHEAT	AIRHEAT.set	CH4-PIL	CH4-PIL.set	H2-MAIN	H2-MAIN.set	H2-PILO	H2-PILO.set	N2	N2.set	NH3-MAI	NH3-MAI.set
			[°C]	[kg/m3]	[m3/s]	[sl/min]	[g/min]	[g/s]									°C	°C	V	V	°C	°C	°C	°C	°C	°C	°C	°C			°C	°C	V	V	°C	°C	V	V	°C	°C	V	V	°C	°C	°C	°C	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/Min	L/Min	L/Min	L/Min
																																																														
16.05.2025	15:43:55.7		3.240149E+0	4.189513E+0	6.982522E-2	3.240149E+0	4.189513E+0	6.982522E-2	4.082839E+2	4.050000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	5.625829E-2	9.387398E-3	2.161328E+1	3.309478E-3	2.023887E+0	8.177751E-3	3.360738E+2	4.195906E-2	2.058389E+2	3.214849E-1	5.832252E+1	7.316004E-2	3.013681E+2	4.322687E-3	6.696607E-1	8.249887E-2	2.161473E+1	1.009353E-3	5.253460E-1	1.798858E-3	2.190286E+1	8.392686E-3	1.511026E+0	2.842355E-3	2.186838E+1	7.361118E-3	5.595851E-1	2.410278E-3	2.217266E+1	3.786977E-3	2.218271E+1	2.583359E-3	1.004000E+2	1.000000E+2	3.502500E+2	3.500000E+2	2.962575E+0	3.000000E+0	2.400000E-1	0.000000E+0	2.000000E-1	0.000000E+0	7.500000E-1	0.000000E+0	2.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0
16.05.2025	15:43:56.7		3.240427E+0	4.189871E+0	6.983119E-2	3.240427E+0	4.189871E+0	6.983119E-2	3.974198E+2	4.050000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	5.699282E-2	1.067650E-2	2.161361E+1	1.602122E-3	2.027768E+0	7.908949E-3	3.360159E+2	3.019506E-2	2.057638E+2	2.856106E-1	5.833914E+1	1.580116E-1	3.013452E+2	1.683324E-2	6.771198E-1	9.049379E-2	2.161518E+1	3.811673E-3	5.258838E-1	2.435689E-3	2.190087E+1	4.715488E-3	1.511997E+0	4.551776E-3	2.187208E+1	4.275444E-3	5.602078E-1	3.945467E-3	2.216757E+1	1.833280E-3	2.218649E+1	3.267156E-3	1.006349E+2	1.000000E+2	3.500952E+2	3.500000E+2	2.964107E+0	3.000000E+0	2.400000E-1	0.000000E+0	2.896801E-1	0.000000E+0	7.500000E-1	0.000000E+0	2.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0
16.05.2025	15:43:57.7		3.235166E+0	4.183070E+0	6.971783E-2	3.235166E+0	4.183070E+0	6.971783E-2	4.080000E+2	4.050000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	5.729385E-2	9.250476E-3	2.160783E+1	3.837645E-3	2.030832E+0	7.363415E-3	3.359346E+2	1.700035E-2	2.059452E+2	3.765428E-1	5.852064E+1	1.458820E-1	3.013062E+2	1.910214E-2	6.946007E-1	1.001286E-1	2.161493E+1	5.429205E-3	5.262933E-1	2.009520E-3	2.189312E+1	3.200107E-3	1.512693E+0	4.714234E-3	2.186837E+1	4.711372E-3	5.603325E-1	3.927562E-3	2.216211E+1	1.841628E-3	2.218414E+1	4.275386E-3	1.000000E+2	1.000000E+2	3.495000E+2	3.500000E+2	2.970000E+0	3.000000E+0	2.400000E-1	0.000000E+0	2.500000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.691202E-1	0.000000E+0	1.500000E-1	0.000000E+0
16.05.2025	15:43:58.7		3.233162E+0	4.180478E+0	6.967463E-2	3.233162E+0	4.180478E+0	6.967463E-2	3.971340E+2	4.050000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	5.608626E-2	8.233594E-3	2.160227E+1	9.207765E-3	2.038567E+0	9.050659E-3	3.358995E+2	1.230344E-2	2.060652E+2	3.201805E-1	5.871399E+1	1.088983E-1	3.012718E+2	1.125384E-2	6.878217E-1	9.871486E-2	2.161409E+1	3.003564E-3	5.260602E-1	1.087171E-3	2.189016E+1	6.065689E-3	1.512364E+0	2.771805E-3	2.186145E+1	5.404171E-3	5.597763E-1	2.184402E-3	2.216431E+1	7.630080E-3	2.217728E+1	4.680467E-3	1.000374E+2	1.000000E+2	3.495350E+2	3.500000E+2	2.962228E+0	3.000000E+0	2.428014E-1	0.000000E+0	2.000000E-1	0.000000E+0	7.570035E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.214007E-1	0.000000E+0
16.05.2025	15:43:59.7		3.230603E+0	4.177170E+0	6.961950E-2	3.230603E+0	4.177170E+0	6.961950E-2	4.087574E+2	4.050000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	5.547609E-2	1.284003E-2	2.160758E+1	2.482757E-3	2.052880E+0	1.039516E-2	3.358185E+2	2.551666E-2	2.061195E+2	2.319925E-1	5.832517E+1	1.795443E-1	3.012415E+2	9.186289E-3	7.052219E-1	1.076510E-1	2.161535E+1	1.302356E-3	5.263936E-1	3.572857E-3	2.188704E+1	3.263730E-3	1.513045E+0	7.793942E-3	2.186375E+1	1.520040E-3	5.605180E-1	5.867884E-3	2.216464E+1	5.645089E-3	2.218653E+1	5.726411E-3	1.006420E+2	1.000000E+2	3.502500E+2	3.500000E+2	2.955150E+0	3.000000E+0	3.236944E-1	0.000000E+0	2.000000E-1	0.000000E+0	9.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0
16.05.2025	15:44:00.7		3.238708E+0	4.187649E+0	6.979416E-2	3.238708E+0	4.187649E+0	6.979416E-2	3.965214E+2	4.050000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	5.650180E-2	1.138313E-2	2.160847E+1	2.887827E-3	2.052858E+0	9.499453E-3	3.357869E+2	2.188417E-2	2.059424E+2	3.690649E-1	5.831816E+1	1.382159E-1	3.012237E+2	1.266803E-2	6.940662E-1	9.001123E-2	2.161559E+1	2.448668E-3	5.262443E-1	2.453536E-3	2.188672E+1	4.087155E-3	1.513053E+0	5.913884E-3	2.186697E+1	2.099525E-3	5.604065E-1	5.074537E-3	2.216338E+1	4.927640E-3	2.218421E+1	6.180665E-3	1.004000E+2	1.000000E+2	3.502500E+2	3.500000E+2	2.955150E+0	3.000000E+0	3.600000E-1	0.000000E+0	2.000000E-1	0.000000E+0	9.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0
16.05.2025	15:44:01.7		3.239747E+0	4.188992E+0	6.981654E-2	3.239309E+0	4.188427E+0	6.980712E-2	4.083854E+2	4.050000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	5.722068E-2	1.215890E-2	2.160924E+1	3.386471E-3	2.056913E+0	1.088216E-2	3.357547E+2	9.059836E-3	2.061342E+2	3.432177E-1	5.837760E+1	1.438439E-1	3.011827E+2	1.582733E-2	6.759496E-1	9.342443E-2	2.161602E+1	6.578157E-3	5.261122E-1	2.995843E-3	2.189226E+1	3.976251E-3	1.512878E+0	5.989364E-3	2.186703E+1	5.368831E-3	5.601116E-1	5.440196E-3	2.216365E+1	6.087574E-3	2.218517E+1	1.047273E-2	1.007478E+2	1.000000E+2	3.502500E+2	3.500000E+2	2.954182E+0	3.000000E+0	3.600000E-1	0.000000E+0	2.500000E-1	0.000000E+0	7.695569E-1	0.000000E+0	1.434810E-1	0.000000E+0	1.500000E-1	0.000000E+0
16.05.2025	15:44:02.7		3.238983E+0	4.188005E+0	6.980009E-2	3.236588E+0	4.184909E+0	6.974848E-2	3.980000E+2	4.050000E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	5.641262E-2	1.029189E-2	2.160914E+1	3.991822E-3	2.058197E+0	1.135984E-2	3.357301E+2	1.122391E-2	2.066742E+2	1.751211E-1	5.864944E+1	1.598300E-1	3.011404E+2	1.320727E-2	6.720857E-1	9.903105E-2	2.161501E+1	6.163985E-3	5.260737E-1	2.871566E-3	2.189681E+1	2.290184E-3	1.512601E+0	5.345052E-3	2.186487E+1	5.970509E-3	5.599466E-1	4.414572E-3	2.216516E+1	6.054875E-3	2.218165E+1	7.549049E-3	1.004000E+2	1.000000E+2	3.502500E+2	3.500000E+2	2.959915E+0	3.000000E+0	3.600000E-1	0.000000E+0	2.500000E-1	0.000000E+0	9.000000E-1	0.000000E+0	1.547230E-1	0.000000E+0	1.335831E-1	0.000000E+0
