date	time	comment	HEAT_#96:_Volume_[sl/min]	HEAT_#96:_mass_[g/min]	HEAT_#96:_mass_[g/s]	shield_airshield_air_#96:_Volume_[sl/min]	shield_airshield_air_#96:_mass_[g/min]	shield_airshield_air_#96:_mass_[g/s]	T_Heater	T_Heater.set	ai0:_P0_plenum	ai0:_P0_plenum_Stabw	ai0:_T0_plenum	ai0:_T0_plenum_Stabw	ai0:_g0_137_hood	ai0:_g0_137_hood_Stabw	ai12:_HEAT_T1	ai12:_HEAT_T1_Stabw	ai13:_HEAT_T2	ai13:_HEAT_T2_Stabw	ai14:_HEAT_T3	ai14:_HEAT_T3_Stabw	ai15:_HEAT_T4	ai15:_HEAT_T4_Stabw	ai1:_P1_fuel_HEAT	ai1:_P1_fuel_HEAT_Stabw	ai1:_T1_main_air	ai1:_T1_main_air_Stabw	ai1:_g1_135_bur	ai1:_g1_135_bur_Stabw	ai2:_T2_pilot_air_1	ai2:_T2_pilot_air_1_Stabw	ai2:_g2_137_scr	ai2:_g2_137_scr_Stabw	ai3:_T3_pilot_air_2	ai3:_T3_pilot_air_2_Stabw	ai3:_g3_135_mfc	ai3:_g3_135_mfc_Stabw	ai4:_T4_por_in	ai4:_T4_por_in_Stabw	ai6:_T6_shield	ai6:_T6_shield_Stabw	AIR-MAI	AIR-MAI.set	AIR-PIL	AIR-PIL.set	AIRHEAT	AIRHEAT.set	CH4-PIL	CH4-PIL.set	H2-MAIN	H2-MAIN.set	H2-PILO	H2-PILO.set	N2	N2.set	NH3-MAI	NH3-MAI.set	X	Y	Z
			[°C]	[kg/m3]	[m3/s]	[sl/min]	[g/min]	[g/s]					°C	°C	V	V	°C	°C	°C	°C	°C	°C	°C	°C			°C	°C	V	V	°C	°C	V	V	°C	°C	V	V	°C	°C	°C	°C	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/Min	L/Min	L/Min	L/Min			
																																																													
21.05.2025	13:48:18.7		3.287604E+0	4.250872E+0	7.084787E-2	3.287604E+0	4.250872E+0	7.084787E-2	1.900000E+1	0.000000E+0	2.037661E-3	7.759088E-3	2.221123E+1	3.066392E-3	2.274017E+0	9.149233E-3	2.103731E+1	2.555891E-3	2.183002E+1	3.094861E-2	2.223456E+1	2.294485E-3	1.858226E+1	5.449966E-3	4.313277E-1	7.374916E-2	2.197055E+1	5.953121E-3	5.939891E-1	3.228735E-3	2.163029E+1	2.844311E-3	1.947154E+0	6.768157E-3	2.161404E+1	3.634792E-3	6.265561E-1	5.254284E-3	2.228231E+1	2.706010E-3	2.230160E+1	1.327893E-3	2.800000E+0	0.000000E+0	3.495000E+2	3.500000E+2	3.021975E+0	3.100000E+0	4.200000E-1	0.000000E+0	2.500000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0	2.400000E+1	5.380000E+1	1.546000E+2
21.05.2025	13:48:19.7		3.288587E+0	4.252143E+0	7.086906E-2	3.288587E+0	4.252143E+0	7.086906E-2	1.900000E+1	0.000000E+0	3.164252E-3	1.298074E-2	2.221235E+1	1.319214E-3	2.287125E+0	1.260989E-2	2.103776E+1	2.819728E-3	2.178562E+1	2.835912E-2	2.224128E+1	2.641016E-3	1.858974E+1	9.244729E-3	4.352686E-1	8.248746E-2	2.197184E+1	4.518669E-3	5.945169E-1	4.492171E-3	2.163106E+1	4.798419E-3	1.948272E+0	8.613041E-3	2.161594E+1	4.092290E-3	6.274305E-1	6.581228E-3	2.228654E+1	5.399814E-3	2.230217E+1	1.874521E-3	2.800000E+0	0.000000E+0	3.502500E+2	3.500000E+2	3.029400E+0	3.100000E+0	3.600000E-1	0.000000E+0	2.000000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.800000E-1	0.000000E+0	2.400000E+1	5.380000E+1	1.546000E+2
21.05.2025	13:48:20.7		3.288750E+0	4.252354E+0	7.087256E-2	3.288750E+0	4.252354E+0	7.087256E-2	1.900000E+1	0.000000E+0	2.369648E-3	9.715216E-3	2.221229E+1	2.573407E-3	2.303472E+0	1.103213E-2	2.103394E+1	2.831674E-3	2.182881E+1	3.236652E-2	2.224117E+1	3.063916E-3	1.858335E+1	6.956021E-3	4.444103E-1	9.292865E-2	2.196648E+1	1.438240E-3	5.944178E-1	5.330362E-3	2.162711E+1	4.054790E-3	1.947250E+0	7.983359E-3	2.161400E+1	1.465674E-3	6.267840E-1	6.940867E-3	2.228435E+1	3.272874E-3	2.230091E+1	3.391338E-3	3.200000E+0	0.000000E+0	3.502500E+2	3.500000E+2	3.029400E+0	3.100000E+0	3.600000E-1	0.000000E+0	1.500000E-1	0.000000E+0	9.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.800000E-1	0.000000E+0	2.400000E+1	5.380000E+1	1.546000E+2
21.05.2025	13:48:21.7		3.293303E+0	4.258241E+0	7.097068E-2	3.293303E+0	4.258241E+0	7.097068E-2	1.900000E+1	0.000000E+0	1.172020E-3	4.955950E-3	2.221310E+1	4.987003E-3	2.301738E+0	9.957244E-3	2.103334E+1	4.171820E-3	2.196240E+1	4.094557E-2	2.223911E+1	2.661410E-3	1.857438E+1	2.733570E-3	4.466941E-1	8.665343E-2	2.196345E+1	2.751890E-4	5.949956E-1	4.952291E-3	2.162714E+1	3.611980E-3	1.947143E+0	9.610066E-3	2.161741E+1	1.757511E-3	6.267693E-1	9.083889E-3	2.228300E+1	1.640090E-3	2.230114E+1	3.553872E-3	3.200000E+0	0.000000E+0	3.502500E+2	3.500000E+2	3.022939E+0	3.100000E+0	3.677936E-1	0.000000E+0	2.064947E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0	9.389682E-2	0.000000E+0	2.400000E+1	5.380000E+1	1.546000E+2
21.05.2025	13:48:22.7		3.293943E+0	4.259068E+0	7.098447E-2	3.293943E+0	4.259068E+0	7.098447E-2	1.900000E+1	0.000000E+0	1.900439E-3	7.771447E-3	2.220987E+1	3.585644E-3	2.301752E+0	7.479804E-3	2.102877E+1	3.600248E-3	2.204338E+1	5.487240E-2	2.223967E+1	1.435596E-3	1.856978E+1	4.559960E-3	4.246847E-1	7.707264E-2	2.196524E+1	1.887632E-3	5.944536E-1	1.965505E-3	2.162931E+1	1.931205E-3	1.946313E+0	8.434900E-3	2.161922E+1	1.997615E-3	6.258058E-1	6.337878E-3	2.228411E+1	2.134763E-3	2.230228E+1	1.839215E-3	3.200000E+0	0.000000E+0	3.487500E+2	3.500000E+2	3.029400E+0	3.100000E+0	4.200000E-1	0.000000E+0	2.500000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.200000E-1	0.000000E+0	2.400000E+1	5.380000E+1	1.546000E+2
21.05.2025	13:48:23.7		3.289084E+0	4.252786E+0	7.087976E-2	3.289084E+0	4.252786E+0	7.087976E-2	1.900000E+1	0.000000E+0	1.507251E-3	3.903453E-3	2.220779E+1	2.865406E-3	2.303893E+0	8.404778E-3	2.102546E+1	1.995470E-3	2.197935E+1	6.932234E-2	2.223793E+1	6.942429E-4	1.856228E+1	6.571009E-3	4.249450E-1	9.251888E-2	2.196594E+1	2.749737E-3	5.943522E-1	2.012726E-3	2.162515E+1	4.036682E-3	1.946904E+0	8.243072E-3	2.161581E+1	1.206654E-3	6.265179E-1	6.665998E-3	2.228228E+1	8.145312E-4	2.230193E+1	1.339677E-3	3.200000E+0	0.000000E+0	3.495000E+2	3.500000E+2	3.021975E+0	3.100000E+0	3.600000E-1	0.000000E+0	2.500000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.000000E-1	0.000000E+0	1.200000E-1	0.000000E+0	2.400000E+1	5.380000E+1	1.546000E+2
21.05.2025	13:48:24.7		3.286163E+0	4.249009E+0	7.081681E-2	3.286163E+0	4.249009E+0	7.081681E-2	1.900000E+1	0.000000E+0	2.250507E-3	8.210904E-3	2.221005E+1	5.874276E-3	2.312864E+0	8.399446E-3	2.102648E+1	2.220997E-3	2.192644E+1	9.437587E-2	2.223858E+1	1.326717E-3	1.856564E+1	6.546118E-3	4.318386E-1	7.552956E-2	2.196322E+1	1.959207E-3	5.945873E-1	2.125724E-3	2.162393E+1	6.768354E-3	1.946990E+0	1.040790E-2	2.161477E+1	1.280387E-3	6.269447E-1	9.190240E-3	2.228278E+1	1.181194E-3	2.229968E+1	1.883613E-3	3.200000E+0	0.000000E+0	3.502500E+2	3.500000E+2	3.021975E+0	3.100000E+0	4.200000E-1	0.000000E+0	2.500000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.000000E-1	0.000000E+0	1.200000E-1	0.000000E+0	2.400000E+1	5.380000E+1	1.546000E+2
21.05.2025	13:48:25.7		3.281791E+0	4.243355E+0	7.072259E-2	3.281791E+0	4.243355E+0	7.072259E-2	1.900000E+1	0.000000E+0	3.375523E-3	1.301167E-2	2.220999E+1	5.837153E-3	2.317125E+0	5.667095E-3	2.102764E+1	8.163511E-4	2.198342E+1	6.401452E-2	2.223974E+1	2.241642E-3	1.856983E+1	4.262486E-3	4.335184E-1	8.845538E-2	2.196835E+1	2.917005E-3	5.947143E-1	1.450499E-3	2.162802E+1	3.942989E-3	1.945829E+0	4.122873E-3	2.161599E+1	2.019287E-3	6.261381E-1	4.319308E-3	2.228630E+1	3.493017E-3	2.229895E+1	3.654977E-3	3.200000E+0	0.000000E+0	3.495000E+2	3.500000E+2	3.014550E+0	3.100000E+0	3.600000E-1	0.000000E+0	2.500000E-1	0.000000E+0	6.000000E-1	0.000000E+0	1.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0	2.400000E+1	5.380000E+1	1.546000E+2
21.05.2025	13:48:26.7		3.281303E+0	4.242725E+0	7.071209E-2	3.281303E+0	4.242725E+0	7.071209E-2	1.900000E+1	0.000000E+0	2.593005E-3	9.392656E-3	2.221410E+1	3.988193E-3	2.323968E+0	8.955613E-3	2.102867E+1	1.733101E-3	2.209298E+1	1.967710E-2	2.224447E+1	1.461644E-3	1.857002E+1	4.052273E-3	4.452327E-1	1.017646E-1	2.197140E+1	1.440785E-3	5.946915E-1	1.996945E-3	2.163298E+1	2.494530E-3	1.945144E+0	3.125160E-3	2.161913E+1	4.445746E-3	6.257873E-1	2.512610E-3	2.229268E+1	3.939614E-3	2.230545E+1	2.513303E-3	2.800000E+0	0.000000E+0	3.489063E+2	3.500000E+2	3.022749E+0	3.100000E+0	3.600000E-1	0.000000E+0	1.500000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.200000E-1	0.000000E+0	2.400000E+1	5.380000E+1	1.546000E+2
21.05.2025	13:48:27.7		3.281740E+0	4.243289E+0	7.072149E-2	3.282258E+0	4.243960E+0	7.073267E-2	1.900000E+1	0.000000E+0	3.003103E-3	1.268107E-2	2.221744E+1	3.296832E-3	2.336288E+0	1.367181E-2	2.102985E+1	4.202796E-3	2.204835E+1	2.380142E-2	2.224616E+1	3.103267E-3	1.856442E+1	6.890715E-3	4.351686E-1	1.054717E-1	2.197143E+1	5.657141E-4	5.945409E-1	2.519435E-3	2.163390E+1	2.779489E-3	1.945247E+0	3.497395E-3	2.162295E+1	6.031482E-3	6.262135E-1	2.843231E-3	2.229207E+1	1.641759E-3	2.231071E+1	3.213165E-3	3.200000E+0	0.000000E+0	3.502500E+2	3.500000E+2	3.029400E+0	3.100000E+0	3.600000E-1	0.000000E+0	1.500000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.200000E-1	0.000000E+0	2.400000E+1	5.380000E+1	1.546000E+2
