date	time	comment	HEAT_#96:_Volume_[sl/min]	HEAT_#96:_mass_[g/min]	HEAT_#96:_mass_[g/s]	shield_airshield_air_#96:_Volume_[sl/min]	shield_airshield_air_#96:_mass_[g/min]	shield_airshield_air_#96:_mass_[g/s]	T_Heater	T_Heater.set	ai0:_P0_plenum	ai0:_P0_plenum_Stabw	ai0:_T0_plenum	ai0:_T0_plenum_Stabw	ai0:_g0_137_hood	ai0:_g0_137_hood_Stabw	ai12:_HEAT_T1_heat_in	ai12:_HEAT_T1_heat_in_Stabw	ai13:_HEAT_T2_core_out	ai13:_HEAT_T2_core_out_Stabw	ai14:_HEAT_T3_core_in	ai14:_HEAT_T3_core_in_Stabw	ai15:_HEAT_T4_heat_out	ai15:_HEAT_T4_heat_out_Stabw	ai1:_P1_fuel_HEAT	ai1:_P1_fuel_HEAT_Stabw	ai1:_T1_main_air	ai1:_T1_main_air_Stabw	ai1:_g1_135_bur	ai1:_g1_135_bur_Stabw	ai2:_T2_pilot_air_1	ai2:_T2_pilot_air_1_Stabw	ai2:_g2_137_scr	ai2:_g2_137_scr_Stabw	ai3:_T3_pilot_air_2	ai3:_T3_pilot_air_2_Stabw	ai3:_g3_135_mfc	ai3:_g3_135_mfc_Stabw	ai4:_T4_por_in	ai4:_T4_por_in_Stabw	ai6:_T6_shield	ai6:_T6_shield_Stabw	AIR-MAI	AIR-MAI.set	AIR-PIL	AIR-PIL.set	AIRHEAT	AIRHEAT.set	CH4-PIL	CH4-PIL.set	H2-MAIN	H2-MAIN.set	H2-PILO	H2-PILO.set	N2	N2.set	NH3-MAI	NH3-MAI.set
			[°C]	[kg/m3]	[m3/s]	[sl/min]	[g/min]	[g/s]					°C	°C	V	V	°C	°C	°C	°C	°C	°C	°C	°C			°C	°C	V	V	°C	°C	V	V	°C	°C	V	V	°C	°C	°C	°C	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/Min	L/Min	L/Min	L/Min
																																																										
21.05.2025	14:50:00.3		3.271271E+0	4.229753E+0	7.049588E-2	3.271345E+0	4.229849E+0	7.049748E-2	5.806455E+2	5.800000E+2	1.127920E-3	2.354402E-3	2.146342E+1	4.028154E-3	2.855674E+0	4.704963E-3	5.186784E+2	3.244931E-2	3.289643E+2	2.021315E-2	7.773989E+1	4.272088E-2	4.580059E+2	3.911016E-3	8.464419E-1	9.188739E-2	2.307927E+1	3.546290E-4	5.984733E-1	1.367681E-3	2.216614E+1	2.424737E-3	1.917498E+0	3.468008E-3	2.214743E+1	1.348684E-3	6.304720E-1	2.935136E-3	2.220643E+1	2.817710E-3	2.228182E+1	2.738049E-4	3.157286E+0	0.000000E+0	3.495400E+2	3.500000E+2	3.037618E+0	3.100000E+0	3.567965E-1	0.000000E+0	1.526696E-1	0.000000E+0	6.000000E-1	0.000000E+0	1.526696E-1	0.000000E+0	1.500000E-1	0.000000E+0
21.05.2025	14:50:01.3		3.261199E+0	4.216730E+0	7.027884E-2	3.263031E+0	4.219099E+0	7.031831E-2	5.782282E+2	5.800000E+2	1.551537E-3	5.149690E-3	2.146441E+1	4.957434E-3	2.846646E+0	3.970985E-3	5.186999E+2	1.784047E-2	3.289344E+2	5.049027E-2	7.758003E+1	1.162556E-1	4.580005E+2	4.426644E-3	8.572029E-1	7.714962E-2	2.307800E+1	3.934841E-3	5.983742E-1	1.413614E-3	2.216430E+1	7.053334E-3	1.918235E+0	6.541830E-3	2.214115E+1	4.699056E-3	6.307750E-1	4.856233E-3	2.220996E+1	2.282687E-3	2.227668E+1	4.213649E-3	3.200000E+0	0.000000E+0	3.502500E+2	3.500000E+2	3.036825E+0	3.100000E+0	3.600000E-1	0.000000E+0	1.500000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.200000E-1	0.000000E+0
21.05.2025	14:50:02.3		3.262536E+0	4.218459E+0	7.030764E-2	3.262331E+0	4.218193E+0	7.030322E-2	5.793591E+2	5.800000E+2	1.569613E-3	5.734356E-3	2.146920E+1	5.475969E-3	2.842527E+0	5.895582E-3	5.186737E+2	1.293993E-2	3.286145E+2	3.966392E-1	7.794734E+1	1.686981E-1	4.580003E+2	9.119944E-3	8.605391E-1	1.308981E-1	2.309027E+1	2.920030E-3	5.983524E-1	3.966265E-3	2.217873E+1	4.077243E-4	1.919127E+0	1.098110E-2	2.214404E+1	6.972619E-3	6.309815E-1	7.378282E-3	2.221522E+1	4.817303E-4	2.228181E+1	7.297160E-4	2.893640E+0	0.000000E+0	3.496756E+2	3.500000E+2	3.053885E+0	3.100000E+0	2.680921E-1	0.000000E+0	1.882950E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0
21.05.2025	14:50:03.3		3.266332E+0	4.223368E+0	7.038946E-2	3.266332E+0	4.223368E+0	7.038946E-2	5.793800E+2	5.800000E+2	1.166352E-3	4.861537E-3	2.146440E+1	9.459610E-3	2.840574E+0	7.532752E-3	5.187096E+2	2.584981E-2	3.295131E+2	5.043995E-1	7.819423E+1	8.883743E-2	4.580149E+2	1.810703E-2	8.439397E-1	8.924042E-2	2.308771E+1	1.880933E-3	5.981470E-1	1.992170E-3	2.217162E+1	6.876385E-3	1.919358E+0	4.513978E-3	2.214099E+1	9.717515E-3	6.310834E-1	4.011641E-3	2.221365E+1	1.790779E-3	2.227853E+1	9.814206E-4	2.800000E+0	0.000000E+0	3.502500E+2	3.500000E+2	3.044250E+0	3.100000E+0	4.200000E-1	0.000000E+0	1.500000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.200000E-1	0.000000E+0
21.05.2025	14:50:04.3		3.266994E+0	4.224223E+0	7.040372E-2	3.266994E+0	4.224223E+0	7.040372E-2	5.800432E+2	5.800000E+2	2.283582E-3	8.335548E-3	2.147014E+1	6.431230E-3	2.850893E+0	6.547842E-3	5.186641E+2	7.837441E-3	3.318986E+2	2.224850E+0	7.786537E+1	1.705770E-1	4.580118E+2	2.319199E-2	8.808369E-1	9.531954E-2	2.308916E+1	2.532022E-3	5.984027E-1	2.390444E-3	2.217118E+1	7.241592E-3	1.920279E+0	7.375940E-3	2.215021E+1	2.991992E-3	6.320448E-1	7.493945E-3	2.221739E+1	1.652201E-3	2.228293E+1	3.696281E-3	3.200000E+0	0.000000E+0	3.495000E+2	3.500000E+2	3.059100E+0	3.100000E+0	2.400000E-1	0.000000E+0	2.000000E-1	0.000000E+0	4.500000E-1	0.000000E+0	2.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0
21.05.2025	14:50:05.3		3.269295E+0	4.227198E+0	7.045329E-2	3.269295E+0	4.227198E+0	7.045329E-2	5.786969E+2	5.800000E+2	6.975070E-4	1.310177E-3	2.146682E+1	4.525823E-3	2.846226E+0	4.646999E-3	5.186469E+2	6.026960E-3	3.376633E+2	6.970301E-1	7.756987E+1	1.870472E-1	4.579574E+2	1.549908E-2	8.633356E-1	7.410871E-2	2.308362E+1	1.363394E-4	5.984101E-1	9.688415E-4	2.217365E+1	2.697328E-3	1.919629E+0	6.965821E-3	2.214908E+1	5.409735E-3	6.312903E-1	6.472547E-3	2.221388E+1	2.076240E-3	2.227643E+1	1.406659E-3	2.800000E+0	0.000000E+0	3.495000E+2	3.500000E+2	3.036825E+0	3.100000E+0	4.200000E-1	0.000000E+0	2.000000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0
21.05.2025	14:50:06.3		3.271023E+0	4.229432E+0	7.049053E-2	3.271023E+0	4.229432E+0	7.049053E-2	5.799054E+2	5.800000E+2	1.979895E-3	5.513286E-3	2.145764E+1	4.937440E-3	2.838632E+0	4.441540E-3	5.186385E+2	4.781055E-3	3.333276E+2	1.997963E+0	7.778878E+1	1.500214E-1	4.579496E+2	1.225030E-2	8.490415E-1	1.034619E-1	2.307825E+1	3.379974E-3	5.978726E-1	2.169911E-3	2.216554E+1	4.601398E-3	1.917864E+0	4.096725E-3	2.214180E+1	3.328153E-3	6.299983E-1	2.957862E-3	2.220683E+1	6.045488E-3	2.227302E+1	9.384339E-3	2.800000E+0	0.000000E+0	3.502500E+2	3.500000E+2	3.044250E+0	3.100000E+0	3.600000E-1	0.000000E+0	1.500000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.200000E-1	0.000000E+0
21.05.2025	14:50:07.3		3.269371E+0	4.227296E+0	7.045494E-2	3.269371E+0	4.227296E+0	7.045494E-2	5.779088E+2	5.800000E+2	2.194077E-3	8.110708E-3	2.146103E+1	3.692081E-3	2.843865E+0	4.790551E-3	5.186392E+2	8.667071E-3	3.323331E+2	1.767168E+0	7.772399E+1	3.038165E-1	4.579433E+2	2.558119E-2	8.414292E-1	1.286101E-1	2.308113E+1	2.937440E-5	5.987604E-1	2.270850E-3	2.216494E+1	5.852599E-3	1.919992E+0	5.048534E-3	2.214437E+1	2.877989E-3	6.315389E-1	3.973392E-3	2.220845E+1	3.471562E-3	2.228014E+1	7.945046E-3	3.168375E+0	0.000000E+0	3.495593E+2	3.500000E+2	3.051088E+0	3.100000E+0	3.600000E-1	0.000000E+0	1.960469E-1	0.000000E+0	6.118593E-1	0.000000E+0	1.039531E-1	0.000000E+0	1.476281E-1	0.000000E+0
