date	time	comment	HEAT_#96:_Volume_[sl/min]	HEAT_#96:_mass_[g/min]	HEAT_#96:_mass_[g/s]	shield_airshield_air_#96:_Volume_[sl/min]	shield_airshield_air_#96:_mass_[g/min]	shield_airshield_air_#96:_mass_[g/s]	T_Heater	T_Heater.set	ai0:_P0_plenum	ai0:_P0_plenum_Stabw	ai0:_T0_plenum	ai0:_T0_plenum_Stabw	ai0:_g0_137_hood	ai0:_g0_137_hood_Stabw	ai12:_HEAT_T1_heat_in	ai12:_HEAT_T1_heat_in_Stabw	ai13:_HEAT_T2_core_out	ai13:_HEAT_T2_core_out_Stabw	ai14:_HEAT_T3_core_in	ai14:_HEAT_T3_core_in_Stabw	ai15:_HEAT_T4_heat_out	ai15:_HEAT_T4_heat_out_Stabw	ai1:_P1_fuel_HEAT	ai1:_P1_fuel_HEAT_Stabw	ai1:_T1_main_air	ai1:_T1_main_air_Stabw	ai1:_g1_135_bur	ai1:_g1_135_bur_Stabw	ai2:_T2_pilot_air_1	ai2:_T2_pilot_air_1_Stabw	ai2:_g2_137_scr	ai2:_g2_137_scr_Stabw	ai3:_T3_pilot_air_2	ai3:_T3_pilot_air_2_Stabw	ai3:_g3_135_mfc	ai3:_g3_135_mfc_Stabw	ai4:_T4_por_in	ai4:_T4_por_in_Stabw	ai6:_T6_shield	ai6:_T6_shield_Stabw	AIR-MAI	AIR-MAI.set	AIR-PIL	AIR-PIL.set	AIRHEAT	AIRHEAT.set	CH4-PIL	CH4-PIL.set	H2-MAIN	H2-MAIN.set	H2-PILO	H2-PILO.set	N2	N2.set	NH3-MAI	NH3-MAI.set
			[°C]	[kg/m3]	[m3/s]	[sl/min]	[g/min]	[g/s]					°C	°C	V	V	°C	°C	°C	°C	°C	°C	°C	°C			°C	°C	V	V	°C	°C	V	V	°C	°C	V	V	°C	°C	°C	°C	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/Min	L/Min	L/Min	L/Min
																																																										
21.05.2025	14:59:00.3		9.980051E+0	1.290421E+1	2.150701E-1	9.980051E+0	1.290421E+1	2.150701E-1	5.743201E+2	5.800000E+2	2.686922E-3	8.481381E-3	2.142478E+1	6.200078E-3	2.928308E+0	9.069821E-3	5.185461E+2	2.873602E-2	3.152936E+2	2.325738E-1	5.915638E+1	1.809729E-1	4.491508E+2	9.528562E-3	3.876592E+0	1.151945E-1	2.338981E+1	6.184422E-3	6.018899E-1	5.065645E-3	2.228886E+1	5.192083E-3	1.927916E+0	1.227558E-2	2.226213E+1	4.869826E-3	6.335183E-1	1.024756E-2	2.221791E+1	6.728332E-3	2.227020E+1	5.066991E-3	2.800000E+0	0.000000E+0	3.502500E+2	3.500000E+2	9.719325E+0	9.900000E+0	3.600000E-1	0.000000E+0	1.500000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0
21.05.2025	14:59:01.3		9.986094E+0	1.291202E+1	2.152003E-1	9.986094E+0	1.291202E+1	2.152003E-1	5.846640E+2	5.800000E+2	1.173599E-3	3.503644E-3	2.143239E+1	5.151492E-3	2.917138E+0	8.678805E-3	5.185529E+2	2.411985E-3	3.154900E+2	1.837923E-1	5.849608E+1	2.600462E-1	4.491513E+2	1.895372E-2	3.902025E+0	6.832958E-2	2.339307E+1	7.590047E-3	6.011217E-1	3.115767E-3	2.228612E+1	1.279201E-2	1.926009E+0	3.359500E-3	2.226612E+1	4.537933E-3	6.320711E-1	3.560073E-3	2.221883E+1	1.029248E-2	2.227584E+1	4.879878E-3	3.167344E+0	0.000000E+0	3.495612E+2	3.500000E+2	9.719325E+0	9.900000E+0	4.151016E-1	0.000000E+0	2.418360E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.959180E-1	0.000000E+0	1.775508E-1	0.000000E+0
21.05.2025	14:59:02.3		1.000114E+1	1.293147E+1	2.155245E-1	1.000062E+1	1.293080E+1	2.155134E-1	5.740000E+2	5.800000E+2	2.758264E-3	9.803754E-3	2.143113E+1	5.586834E-3	2.911307E+0	8.565690E-3	5.184420E+2	4.916404E-2	3.156438E+2	2.780755E-1	5.855631E+1	1.172939E-1	4.491973E+2	1.413045E-2	3.872796E+0	9.263433E-2	2.338758E+1	6.370614E-4	6.021511E-1	6.846519E-3	2.229323E+1	5.565415E-3	1.926934E+0	7.411822E-3	2.226306E+1	4.178276E-3	6.331950E-1	7.116181E-3	2.222359E+1	4.800145E-3	2.227348E+1	1.400853E-3	3.200000E+0	0.000000E+0	3.502500E+2	3.500000E+2	9.734175E+0	9.900000E+0	3.000000E-1	0.000000E+0	2.000000E-1	0.000000E+0	7.500000E-1	0.000000E+0	2.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0
21.05.2025	14:59:03.3		9.991068E+0	1.291845E+1	2.153075E-1	9.991068E+0	1.291845E+1	2.153075E-1	5.853479E+2	5.800000E+2	2.766932E-3	1.103539E-2	2.142882E+1	7.039797E-3	2.915965E+0	5.458626E-3	5.184572E+2	5.804229E-2	3.163833E+2	3.088510E-1	5.851032E+1	1.803444E-1	4.491741E+2	9.267264E-3	3.887770E+0	6.411641E-2	2.338623E+1	1.234836E-3	6.012046E-1	2.394287E-3	2.228678E+1	6.626004E-3	1.927129E+0	9.520840E-3	2.225432E+1	1.132752E-2	6.327737E-1	7.845779E-3	2.221463E+1	4.711270E-3	2.226710E+1	5.484791E-3	2.912844E+0	0.000000E+0	3.502500E+2	3.500000E+2	9.712854E+0	9.900000E+0	3.430734E-1	0.000000E+0	1.641055E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0
21.05.2025	14:59:04.3		9.983392E+0	1.290853E+1	2.151421E-1	9.983392E+0	1.290853E+1	2.151421E-1	5.747160E+2	5.800000E+2	2.764442E-3	1.107536E-2	2.142872E+1	7.099404E-3	2.916168E+0	5.329556E-3	5.184580E+2	5.832879E-2	3.164138E+2	3.099645E-1	5.850826E+1	1.832196E-1	4.491730E+2	9.074004E-3	3.888446E+0	6.288480E-2	2.338618E+1	1.271831E-3	6.011634E-1	2.202503E-3	2.228650E+1	6.683169E-3	1.927136E+0	9.600911E-3	2.225397E+1	1.162549E-2	6.327541E-1	7.869493E-3	2.221424E+1	4.717332E-3	2.226684E+1	5.660666E-3	2.800000E+0	0.000000E+0	3.495000E+2	3.500000E+2	9.719325E+0	9.900000E+0	3.000000E-1	0.000000E+0	2.500000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.800000E-1	0.000000E+0
21.05.2025	14:59:05.3		1.000141E+1	1.293182E+1	2.155303E-1	1.000141E+1	1.293182E+1	2.155303E-1	5.834153E+2	5.800000E+2	1.013479E-3	4.029623E-3	2.142706E+1	5.682075E-3	2.918766E+0	9.729774E-3	5.183679E+2	5.267292E-2	3.160404E+2	4.209334E-1	5.857602E+1	3.128330E-1	4.491481E+2	4.293914E-3	3.887122E+0	6.178681E-2	2.339191E+1	2.491884E-3	6.011108E-1	4.515483E-3	2.228912E+1	4.298958E-3	1.926827E+0	9.734549E-3	2.225472E+1	8.183206E-3	6.326118E-1	7.468329E-3	2.222119E+1	3.011141E-3	2.227801E+1	2.695505E-3	2.800000E+0	0.000000E+0	3.502500E+2	3.500000E+2	9.704475E+0	9.900000E+0	4.200000E-1	0.000000E+0	1.500000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.200000E-1	0.000000E+0
21.05.2025	14:59:06.3		1.000380E+1	1.293492E+1	2.155819E-1	1.000380E+1	1.293492E+1	2.155819E-1	5.743893E+2	5.800000E+2	1.078804E-3	2.876358E-3	2.142933E+1	5.237320E-3	2.918700E+0	4.771186E-3	5.184963E+2	3.196699E-2	3.155971E+2	1.986191E-2	5.808515E+1	3.744844E-2	4.491378E+2	2.852947E-3	3.883178E+0	7.864810E-2	2.339227E+1	3.144030E-3	6.005751E-1	1.468465E-3	2.228476E+1	8.247130E-4	1.925124E+0	3.138731E-3	2.226247E+1	1.306362E-3	6.313822E-1	2.639202E-3	2.222165E+1	1.426403E-3	2.227631E+1	5.114339E-3	3.180197E+0	0.000000E+0	3.495371E+2	3.500000E+2	9.697418E+0	9.900000E+0	3.629704E-1	0.000000E+0	1.975247E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.024753E-1	0.000000E+0	1.485148E-1	0.000000E+0
21.05.2025	14:59:07.3		1.000115E+1	1.293148E+1	2.155247E-1	1.000115E+1	1.293148E+1	2.155247E-1	5.848731E+2	5.800000E+2	2.098688E-3	8.011707E-3	2.142745E+1	5.109918E-3	2.929649E+0	6.985878E-3	5.184295E+2	2.533914E-2	3.160003E+2	9.780856E-2	5.827109E+1	1.696830E-1	4.491577E+2	7.021490E-3	3.873872E+0	8.515367E-2	2.338950E+1	1.213965E-3	6.006437E-1	1.926429E-3	2.228643E+1	1.442089E-3	1.925634E+0	3.462068E-3	2.226169E+1	3.306033E-3	6.319484E-1	3.184800E-3	2.222088E+1	9.251016E-4	2.227677E+1	6.738739E-3	3.200000E+0	0.000000E+0	3.502500E+2	3.500000E+2	9.704475E+0	9.900000E+0	3.600000E-1	0.000000E+0	1.500000E-1	0.000000E+0	6.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.200000E-1	0.000000E+0
