date	time	comment	HEAT_#96:_Volume_[sl/min]	HEAT_#96:_mass_[g/min]	HEAT_#96:_mass_[g/s]	shield_airshield_air_#96:_Volume_[sl/min]	shield_airshield_air_#96:_mass_[g/min]	shield_airshield_air_#96:_mass_[g/s]	T_Heater	T_Heater.set	ai0:_P0_plenum	ai0:_P0_plenum_Stabw	ai0:_T0_plenum	ai0:_T0_plenum_Stabw	ai0:_g0_137_hood	ai0:_g0_137_hood_Stabw	ai12:_HEAT_T1	ai12:_HEAT_T1_Stabw	ai13:_HEAT_T2	ai13:_HEAT_T2_Stabw	ai14:_HEAT_T3	ai14:_HEAT_T3_Stabw	ai15:_HEAT_T4	ai15:_HEAT_T4_Stabw	ai1:_P1_fuel_HEAT	ai1:_P1_fuel_HEAT_Stabw	ai1:_T1_main_air	ai1:_T1_main_air_Stabw	ai1:_g1_135_bur	ai1:_g1_135_bur_Stabw	ai2:_T2_pilot_air_1	ai2:_T2_pilot_air_1_Stabw	ai2:_g2_137_scr	ai2:_g2_137_scr_Stabw	ai3:_T3_pilot_air_2	ai3:_T3_pilot_air_2_Stabw	ai3:_g3_135_mfc	ai3:_g3_135_mfc_Stabw	ai4:_T4_por_in	ai4:_T4_por_in_Stabw	ai6:_T6_shield	ai6:_T6_shield_Stabw	AIR-MAI	AIR-MAI.set	AIR-PIL	AIR-PIL.set	AIRHEAT	AIRHEAT.set	CH4-PIL	CH4-PIL.set	H2-MAIN	H2-MAIN.set	H2-PILO	H2-PILO.set	N2	N2.set	NH3-MAI	NH3-MAI.set
			[°C]	[kg/m3]	[m3/s]	[sl/min]	[g/min]	[g/s]					°C	°C	V	V	°C	°C	°C	°C	°C	°C	°C	°C			°C	°C	V	V	°C	°C	V	V	°C	°C	V	V	°C	°C	°C	°C	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/Min	L/Min	L/Min	L/Min
																																																										
19.05.2025	15:13:00.9		6.641459E+0	8.587407E+0	1.431234E-1	6.641459E+0	8.587407E+0	1.431234E-1	1.744685E+2	1.720000E+2	2.832014E-3	8.951450E-3	2.197873E+1	7.074327E-3	2.160023E+0	6.021349E-3	1.371089E+2	1.561882E-2	7.928048E+1	1.197923E-1	3.171579E+1	4.959655E-2	1.223918E+2	5.736274E-3	1.654366E+0	9.855978E-2	2.189066E+1	8.213319E-3	5.432817E-1	1.944925E-3	2.179099E+1	2.063420E-3	1.803953E+0	6.608411E-3	2.177649E+1	4.270850E-3	5.768826E-1	6.060868E-3	2.220106E+1	2.673539E-3	2.213832E+1	3.659903E-3	3.200000E+0	0.000000E+0	3.495000E+2	3.500000E+2	6.378075E+0	6.500000E+0	4.200000E-1	0.000000E+0	2.000000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0
19.05.2025	15:13:01.9		6.641954E+0	8.588046E+0	1.431341E-1	6.641954E+0	8.588046E+0	1.431341E-1	1.703281E+2	1.720000E+2	2.749782E-3	9.331018E-3	2.197549E+1	5.042392E-3	2.171545E+0	1.258857E-2	1.371011E+2	1.151140E-2	7.921675E+1	1.702443E-1	3.166991E+1	3.180661E-2	1.223898E+2	9.171596E-3	1.665824E+0	7.517119E-2	2.188483E+1	3.779302E-3	5.428834E-1	2.701453E-3	2.178966E+1	1.064073E-3	1.803097E+0	6.536592E-3	2.177522E+1	3.183064E-3	5.761925E-1	5.241124E-3	2.219579E+1	3.430814E-3	2.213154E+1	4.367071E-3	3.200000E+0	0.000000E+0	3.495000E+2	3.500000E+2	6.373581E+0	6.500000E+0	3.600000E-1	0.000000E+0	1.802595E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.302595E-1	0.000000E+0	1.200000E-1	0.000000E+0
19.05.2025	15:13:02.9		6.640422E+0	8.586066E+0	1.431011E-1	6.640422E+0	8.586066E+0	1.431011E-1	1.743750E+2	1.720000E+2	1.833495E-3	6.441035E-3	2.197000E+1	2.283651E-3	2.202396E+0	9.647978E-3	1.371141E+2	4.579113E-3	7.954041E+1	1.751720E-1	3.175084E+1	7.557507E-2	1.223753E+2	1.198841E-2	1.650354E+0	1.064825E-1	2.188161E+1	1.577979E-3	5.431820E-1	1.813677E-3	2.179072E+1	1.643558E-3	1.803431E+0	4.394316E-3	2.177535E+1	2.736131E-3	5.766625E-1	3.443892E-3	2.219703E+1	1.461460E-3	2.212331E+1	2.999637E-3	3.200000E+0	0.000000E+0	3.495000E+2	3.500000E+2	6.378075E+0	6.500000E+0	3.600000E-1	0.000000E+0	1.500000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.000000E-1	0.000000E+0	1.200000E-1	0.000000E+0
19.05.2025	15:13:03.9		6.641800E+0	8.587848E+0	1.431308E-1	6.641800E+0	8.587848E+0	1.431308E-1	1.691935E+2	1.720000E+2	1.876757E-3	5.351240E-3	2.197251E+1	1.902588E-3	2.197702E+0	1.118465E-2	1.371187E+2	3.322266E-3	7.981770E+1	1.545564E-1	3.182796E+1	5.737325E-2	1.223787E+2	1.001713E-2	1.660614E+0	8.073115E-2	2.187754E+1	2.566902E-3	5.432059E-1	2.507423E-3	2.179055E+1	3.124142E-3	1.803375E+0	4.394171E-3	2.177237E+1	3.234092E-3	5.772841E-1	3.243553E-3	2.219543E+1	2.110818E-3	2.212623E+1	3.109021E-3	3.200000E+0	0.000000E+0	3.500591E+2	3.500000E+2	6.378075E+0	6.500000E+0	3.447254E-1	0.000000E+0	2.000000E-1	0.000000E+0	8.618135E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.200000E-1	0.000000E+0
19.05.2025	15:13:04.9		6.640057E+0	8.585593E+0	1.430932E-1	6.640057E+0	8.585593E+0	1.430932E-1	1.749875E+2	1.720000E+2	2.893282E-3	7.850144E-3	2.197583E+1	1.433195E-3	2.172396E+0	1.257580E-2	1.371157E+2	3.548094E-3	7.985214E+1	1.886642E-1	3.182537E+1	3.236368E-2	1.223778E+2	6.050623E-3	1.675783E+0	7.135347E-2	2.187981E+1	4.803759E-3	5.434662E-1	3.390686E-3	2.179072E+1	4.844693E-3	1.803995E+0	6.886557E-3	2.177352E+1	5.224640E-3	5.780283E-1	5.349521E-3	2.219620E+1	1.832909E-3	2.213234E+1	5.663533E-3	3.200000E+0	0.000000E+0	3.495000E+2	3.500000E+2	6.378075E+0	6.500000E+0	3.770009E-1	0.000000E+0	2.000000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.820837E-1	0.000000E+0	1.200000E-1	0.000000E+0
19.05.2025	15:13:05.9		6.639732E+0	8.585174E+0	1.430862E-1	6.639732E+0	8.585174E+0	1.430862E-1	1.687517E+2	1.720000E+2	2.052373E-3	4.614257E-3	2.197658E+1	2.628012E-3	2.125243E+0	7.223879E-3	1.371277E+2	5.906042E-3	7.993755E+1	1.376574E-1	3.170776E+1	1.075739E-1	1.223937E+2	1.002540E-2	1.676306E+0	9.318949E-2	2.188291E+1	2.056874E-3	5.431291E-1	2.177899E-3	2.179103E+1	3.542681E-3	1.802603E+0	4.409708E-3	2.177729E+1	7.656860E-3	5.772831E-1	3.468506E-3	2.220030E+1	2.284777E-4	2.213648E+1	2.284906E-4	2.821609E+0	0.000000E+0	3.509595E+2	3.500000E+2	6.378476E+0	6.500000E+0	4.167587E-1	0.000000E+0	1.945978E-1	0.000000E+0	7.581034E-1	0.000000E+0	2.000000E-1	0.000000E+0	1.200000E-1	0.000000E+0
19.05.2025	15:13:06.9		6.641164E+0	8.587025E+0	1.431171E-1	6.641164E+0	8.587025E+0	1.431171E-1	1.743397E+2	1.720000E+2	2.228817E-3	6.201757E-3	2.197395E+1	4.190528E-3	2.116154E+0	6.445130E-3	1.371290E+2	5.814861E-3	7.960872E+1	1.690138E-1	3.171089E+1	8.420007E-2	1.223897E+2	9.974940E-3	1.665388E+0	8.883271E-2	2.187996E+1	2.205021E-3	5.432815E-1	1.756104E-3	2.178778E+1	2.673763E-3	1.802866E+0	4.560030E-3	2.177139E+1	4.679413E-3	5.772068E-1	3.609637E-3	2.220015E+1	8.007862E-4	2.213508E+1	1.267333E-3	3.010533E+0	0.000000E+0	3.502500E+2	3.500000E+2	6.389017E+0	6.500000E+0	3.315799E-1	0.000000E+0	1.473668E-1	0.000000E+0	8.289498E-1	0.000000E+0	1.763166E-1	0.000000E+0	1.200000E-1	0.000000E+0
19.05.2025	15:13:07.9		6.641976E+0	8.588075E+0	1.431346E-1	6.641976E+0	8.588075E+0	1.431346E-1	1.700228E+2	1.720000E+2	1.721960E-3	5.617798E-3	2.197515E+1	5.681098E-3	2.096457E+0	8.070193E-3	1.371315E+2	5.843018E-3	7.941101E+1	1.060832E-1	3.175945E+1	5.255963E-2	1.223967E+2	8.370370E-3	1.663399E+0	7.214623E-2	2.188128E+1	1.085946E-3	5.432014E-1	1.845322E-3	2.178968E+1	1.294532E-3	1.802600E+0	5.921794E-3	2.176981E+1	3.820058E-3	5.769140E-1	4.157834E-3	2.219550E+1	3.123569E-3	2.213551E+1	1.228863E-3	2.800000E+0	0.000000E+0	3.502500E+2	3.500000E+2	6.392925E+0	6.500000E+0	3.000000E-1	0.000000E+0	2.000000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.200000E-1	0.000000E+0
