date	time	comment	HEAT_#96:_Volume_[sl/min]	HEAT_#96:_mass_[g/min]	HEAT_#96:_mass_[g/s]	shield_airshield_air_#96:_Volume_[sl/min]	shield_airshield_air_#96:_mass_[g/min]	shield_airshield_air_#96:_mass_[g/s]	T_Heater	T_Heater.set	ai0:_P0_plenum	ai0:_P0_plenum_Stabw	ai0:_T0_plenum	ai0:_T0_plenum_Stabw	ai0:_g0_137_hood	ai0:_g0_137_hood_Stabw	ai12:_HEAT_T1	ai12:_HEAT_T1_Stabw	ai13:_HEAT_T2	ai13:_HEAT_T2_Stabw	ai14:_HEAT_T3	ai14:_HEAT_T3_Stabw	ai15:_HEAT_T4	ai15:_HEAT_T4_Stabw	ai1:_P1_fuel_HEAT	ai1:_P1_fuel_HEAT_Stabw	ai1:_T1_main_air	ai1:_T1_main_air_Stabw	ai1:_g1_135_bur	ai1:_g1_135_bur_Stabw	ai2:_T2_pilot_air_1	ai2:_T2_pilot_air_1_Stabw	ai2:_g2_137_scr	ai2:_g2_137_scr_Stabw	ai3:_T3_pilot_air_2	ai3:_T3_pilot_air_2_Stabw	ai3:_g3_135_mfc	ai3:_g3_135_mfc_Stabw	ai4:_T4_por_in	ai4:_T4_por_in_Stabw	ai6:_T6_shield	ai6:_T6_shield_Stabw	AIR-MAI	AIR-MAI.set	AIR-PIL	AIR-PIL.set	AIRHEAT	AIRHEAT.set	CH4-PIL	CH4-PIL.set	H2-MAIN	H2-MAIN.set	H2-PILO	H2-PILO.set	N2	N2.set	NH3-MAI	NH3-MAI.set
			[°C]	[kg/m3]	[m3/s]	[sl/min]	[g/min]	[g/s]					°C	°C	V	V	°C	°C	°C	°C	°C	°C	°C	°C			°C	°C	V	V	°C	°C	V	V	°C	°C	V	V	°C	°C	°C	°C	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/MIN	L/Min	L/Min	L/Min	L/Min
																																																										
19.05.2025	15:34:00.4		6.642960E+0	8.589347E+0	1.431558E-1	6.642606E+0	8.588889E+0	1.431482E-1	3.032232E+2	3.050000E+2	2.692052E-3	7.688727E-3	2.198546E+1	1.437302E-3	2.220558E+0	2.681557E-2	2.368448E+2	1.847211E-2	1.418984E+2	2.355868E-1	4.117937E+1	1.108117E-1	2.132946E+2	1.157631E-2	1.853193E+0	6.759671E-2	2.200360E+1	2.003224E-3	5.417670E-1	1.301787E-3	2.186043E+1	3.177991E-3	1.795219E+0	2.626133E-3	2.184028E+1	3.898530E-3	5.774240E-1	2.393781E-3	2.222083E+1	4.107456E-3	2.216673E+1	1.274458E-3	2.800000E+0	0.000000E+0	3.495000E+2	3.500000E+2	6.385500E+0	6.500000E+0	3.600000E-1	0.000000E+0	2.500000E-1	0.000000E+0	9.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.200000E-1	0.000000E+0
19.05.2025	15:34:01.4		6.638778E+0	8.583940E+0	1.430657E-1	6.638434E+0	8.583495E+0	1.430583E-1	3.071650E+2	3.050000E+2	7.389526E-4	2.221906E-3	2.198892E+1	4.447820E-3	2.255990E+0	1.026511E-2	2.368790E+2	1.068208E-2	1.419979E+2	3.770808E-1	4.131187E+1	1.353439E-1	2.132906E+2	7.385425E-3	1.860436E+0	8.465619E-2	2.200780E+1	5.745918E-3	5.419809E-1	8.894373E-4	2.186230E+1	5.230478E-3	1.795390E+0	2.974435E-3	2.184273E+1	1.751408E-3	5.778897E-1	2.694432E-3	2.222374E+1	5.904999E-3	2.216824E+1	2.182240E-3	3.200000E+0	0.000000E+0	3.495000E+2	3.500000E+2	6.385500E+0	6.500000E+0	3.600000E-1	0.000000E+0	2.000000E-1	0.000000E+0	9.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.200000E-1	0.000000E+0
19.05.2025	15:34:02.4		6.646634E+0	8.594097E+0	1.432350E-1	6.646634E+0	8.594097E+0	1.432350E-1	3.034245E+2	3.050000E+2	1.511062E-3	4.988676E-3	2.199076E+1	4.041538E-3	2.239622E+0	1.293392E-2	2.368762E+2	1.020899E-2	1.421287E+2	2.234935E-1	4.140821E+1	2.040529E-1	2.133077E+2	1.077395E-2	1.846531E+0	1.338764E-1	2.201239E+1	1.069343E-3	5.420855E-1	1.677194E-3	2.186291E+1	2.118246E-3	1.795191E+0	4.202616E-3	2.184451E+1	3.645199E-3	5.779582E-1	3.309828E-3	2.222756E+1	1.364090E-3	2.216810E+1	3.807230E-3	3.200000E+0	0.000000E+0	3.502500E+2	3.500000E+2	6.385500E+0	6.500000E+0	3.000000E-1	0.000000E+0	2.000000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0	9.000000E-2	0.000000E+0
19.05.2025	15:34:03.4		6.641093E+0	8.586933E+0	1.431156E-1	6.640228E+0	8.585814E+0	1.430969E-1	3.075777E+2	3.050000E+2	1.392679E-3	4.874102E-3	2.199356E+1	1.378253E-3	2.231865E+0	5.929595E-3	2.369018E+2	1.816990E-2	1.425126E+2	1.593941E-1	4.145119E+1	2.185597E-1	2.133332E+2	7.095855E-3	1.835614E+0	8.359678E-2	2.201225E+1	2.451594E-3	5.419593E-1	1.777304E-3	2.186197E+1	1.724356E-3	1.794432E+0	2.048863E-3	2.183830E+1	1.403362E-3	5.775132E-1	2.091476E-3	2.222770E+1	2.235287E-3	2.217053E+1	6.669573E-3	3.200000E+0	0.000000E+0	3.510000E+2	3.500000E+2	6.392925E+0	6.500000E+0	3.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.200000E-1	0.000000E+0
19.05.2025	15:34:04.4		6.641287E+0	8.587184E+0	1.431197E-1	6.641287E+0	8.587184E+0	1.431197E-1	3.036864E+2	3.050000E+2	2.489554E-3	9.859834E-3	2.198515E+1	8.768655E-4	2.248976E+0	1.561463E-2	2.369320E+2	1.816175E-3	1.422663E+2	3.882427E-2	4.159506E+1	3.963931E-2	2.133584E+2	6.125258E-3	1.849568E+0	9.591544E-2	2.200528E+1	2.202754E-3	5.418610E-1	1.259208E-3	2.185845E+1	3.870233E-3	1.793787E+0	2.720670E-3	2.184075E+1	1.202607E-3	5.775093E-1	2.334814E-3	2.222123E+1	1.374635E-3	2.216697E+1	4.716280E-3	3.200000E+0	0.000000E+0	3.488782E+2	3.500000E+2	6.378921E+0	6.500000E+0	3.565804E-1	0.000000E+0	1.971503E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.000000E-1	0.000000E+0	1.200000E-1	0.000000E+0
19.05.2025	15:34:05.4		6.655226E+0	8.605206E+0	1.434201E-1	6.655226E+0	8.605206E+0	1.434201E-1	3.069086E+2	3.050000E+2	4.046523E-3	1.411080E-2	2.199019E+1	3.262941E-3	2.249080E+0	1.372713E-2	2.369268E+2	6.896447E-3	1.424877E+2	1.096999E-1	4.153286E+1	1.736104E-1	2.133612E+2	5.738228E-3	1.825762E+0	8.565740E-2	2.201109E+1	4.046869E-3	5.418089E-1	2.802047E-3	2.186257E+1	4.276857E-3	1.793936E+0	6.063222E-3	2.184043E+1	4.706873E-3	5.778951E-1	4.917339E-3	2.222643E+1	2.930012E-3	2.216366E+1	1.428147E-3	3.200000E+0	0.000000E+0	3.502500E+2	3.500000E+2	6.400350E+0	6.500000E+0	4.200000E-1	0.000000E+0	1.500000E-1	0.000000E+0	6.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0
19.05.2025	15:34:06.4		6.654090E+0	8.603738E+0	1.433956E-1	6.653183E+0	8.602566E+0	1.433761E-1	3.043913E+2	3.050000E+2	1.335127E-3	3.769755E-3	2.199233E+1	1.837648E-3	2.230248E+0	7.120379E-3	2.369383E+2	3.046942E-3	1.424053E+2	1.056212E-1	4.145763E+1	2.599507E-1	2.133662E+2	5.921887E-3	1.834259E+0	7.049269E-2	2.201289E+1	3.754163E-3	5.419895E-1	2.517233E-3	2.185968E+1	8.153089E-3	1.795034E+0	6.792179E-3	2.184747E+1	1.148411E-3	5.789295E-1	5.076109E-3	2.222790E+1	2.637604E-3	2.216448E+1	1.520225E-3	2.800000E+0	0.000000E+0	3.502500E+2	3.500000E+2	6.385500E+0	6.500000E+0	4.200000E-1	0.000000E+0	2.500000E-1	0.000000E+0	7.500000E-1	0.000000E+0	1.500000E-1	0.000000E+0	1.200000E-1	0.000000E+0
19.05.2025	15:34:07.4		6.641958E+0	8.588052E+0	1.431342E-1	6.649650E+0	8.597998E+0	1.433000E-1	3.069461E+2	3.050000E+2	1.905718E-3	6.337805E-3	2.199370E+1	1.760729E-3	2.211476E+0	1.420913E-2	2.369580E+2	1.083243E-2	1.417419E+2	4.099265E-1	4.125755E+1	9.350654E-2	2.133769E+2	7.459427E-3	1.843646E+0	9.791875E-2	2.200588E+1	2.745799E-3	5.422344E-1	2.259577E-3	2.185969E+1	2.323408E-3	1.794471E+0	4.591885E-3	2.184453E+1	1.229494E-3	5.782998E-1	3.193261E-3	2.222345E+1	4.076307E-3	2.216355E+1	3.463617E-3	2.400000E+0	0.000000E+0	3.510000E+2	3.500000E+2	6.392925E+0	6.500000E+0	3.600000E-1	0.000000E+0	1.500000E-1	0.000000E+0	6.000000E-1	0.000000E+0	2.000000E-1	0.000000E+0	1.500000E-1	0.000000E+0
